"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"Australia",2021,"Tuberculosis","Viral",1.63,10.77,3.83,"Adult","Male",553307,90.21,0.89,1.06,"Surgery",45851,"Yes",64.2,371,8.08,26854,0.75,81.57
"Indonesia",2023,"Leprosy","Neurological",10.76,6.87,9.21,"Child","Male",142291,68.65,3.37,6.33,"Surgery",15303,"No",64.64,1604,1.3,56201,0.64,61.15
"India",2023,"Diabetes","Infectious",19.09,3.35,4.66,"Adult","Male",221001,79.83,1.09,8.22,"Medication",47541,"Yes",90.65,190,1.81,39206,0.59,32.31
"Mexico",2022,"Hepatitis","Metabolic",6.41,3.78,6.51,"Adult","Male",735271,59.35,1.4,6.88,"Therapy",44748,"No",62.43,3280,4.7,42254,0.53,72.44
"Germany",2020,"Hypertension","Metabolic",12.55,14.55,9.88,"Adult","Other",722517,79.94,2.54,5.72,"Therapy",37101,"No",90.76,4571,5.22,14911,0.83,29.54
"USA",2024,"Parkinson's Disease","Bacterial",19.79,6.18,3.76,"Senior","Female",837756,91.31,0.61,6.19,"Vaccination",8817,"No",78.7,3573,1.26,70942,0.79,84.7
"Australia",2022,"Zika","Genetic",1.34,6.92,8.62,"Young Adult","Male",605801,67.24,0.88,2.54,"Medication",48418,"No",73.79,1490,6.77,41928,0.8,26.73
"Mexico",2021,"Measles","Respiratory",19.88,12.95,4.25,"Young Adult","Female",154609,59.31,0.9,5.16,"Vaccination",3589,"No",77.2,51,1.79,61862,0.87,81.91
"India",2022,"Cholera","Respiratory",3.29,1.56,8.68,"Child","Male",728817,90.79,2.41,5.38,"Surgery",35786,"No",90.21,2575,6.56,86123,0.8,20.92
"Australia",2021,"Diabetes","Parasitic",15.15,3.71,7.56,"Adult","Male",231865,69.18,2.97,2.22,"Vaccination",44229,"Yes",87.01,3199,6.45,37023,0.83,41.3
"France",2022,"Cancer","Chronic",6.48,9.82,8,"Senior","Male",117669,75.11,3.17,7.08,"Therapy",17350,"No",76.36,1858,1.05,82744,0.56,49.02
"Japan",2023,"COVID-19","Respiratory",10.67,6.62,4.84,"Child","Male",755918,90.89,2.53,9.12,"Therapy",27976,"Yes",56.21,2849,4.75,47744,0.71,63.4840350877193
"Saudi Arabia",2021,"Hypertension","Parasitic",18.01,2.27,8.22,"Senior","Other",970974,54.88,4.9,8.07,"Medication",46810,"No",64.88,1159,5.15,28558,0.53,59.69
"Mexico",2022,"Leprosy","Viral",2.28,4.44,9.71,"Senior","Other",755512,84.23,4.26,1.6,"Surgery",43852,"No",74.13,168,1.47,38786,0.7,87.53
"Mexico",2023,"Cholera","Metabolic",9.75,10.11,3.51,"Adult","Other",725302,69.08,4.33,4.59,"Therapy",34756,"Yes",84.11,2438,1.87,47500,0.61,61.39
"Canada",2024,"HIV/AIDS","Genetic",17.5,6.75,9.66,"Young Adult","Female",637620,66.75,4.41,3.85,"Surgery",18935,"Yes",84.26,4401,4.72,53125,0.4,67.79
"UK",2023,"Cholera","Infectious",18.35,9.76,9.24,"Adult","Male",751017,73.03,3.06,5.57,"Therapy",43163,"Yes",76.4,93,4.52,53748,0.52,25.49
"Turkey",2024,"COVID-19","Viral",1.36,1.57,3.31,"Child","Other",385872,98.89,2.62,0.91,"Surgery",45808,"No",59.85,3116,4.93,52312,0.56,42.94
"Australia",2020,"Zika","Cardiovascular",11.71,8.83,9.53,"Young Adult","Female",924878,90.58,3.84,7.53,"Therapy",33780,"No",63.37,2329,5.34,80777,0.76,30.48
"Indonesia",2023,"Leprosy","Parasitic",15.08,0.74,6.9,"Young Adult","Male",836787,50.17,4.05,2.59,"Surgery",16575,"Yes",84.63,430,5.85,29193,0.56,52.92
"UK",2020,"Measles","Infectious",19.43,3.78,4.66,"Young Adult","Female",902272,61.64,1.07,4.95,"Medication",3241,"Yes",95.33,3399,5.31,58797,0.8,60.37
"South Africa",2020,"HIV/AIDS","Cardiovascular",16.62,10.52,1.11,"Young Adult","Male",898636,83.35,3.08,8.39,"Medication",48345,"Yes",63.26,3099,3.25,74257,0.84,42.22
"Brazil",2022,"Leprosy","Viral",10.2,6.2,9.12,"Senior","Male",403519,77.71,4.24,9.18,"Medication",4310,"Yes",83.01,893,6.89,47811,0.75,61.07
"Russia",2020,"Parkinson's Disease","Infectious",12.82,5.4,5.44,"Adult","Other",928035,70.61,4.8,2.48,"Medication",47579,"No",55.53,2247,2.17,18380,0.43,43.23
"China",2021,"Influenza","Metabolic",12.77,7.53,9.4,"Adult","Female",430089,53.02,1.39,2.38,"Surgery",46731,"Yes",77.67,4622,1.61,21399,0.47,32.05
"Nigeria",2022,"Zika","Neurological",10.82,13.49,6.79,"Young Adult","Female",948410,65.19,4.63,3.58,"Surgery",40906,"Yes",80.31,563,7.85,25888,0.7,47.43
"Turkey",2024,"Rabies","Neurological",0.18,10.24,5.75,"Young Adult","Female",471159,53.91,4.5,8.79,"Therapy",17181,"Yes",58.06,4946,7.36,84298,0.48,23.57
"South Africa",2023,"Rabies","Respiratory",5.86,1.58,0.12,"Young Adult","Female",880680,98.05,0.99,2.48,"Vaccination",44924,"Yes",66.98,4457,4.1,78993,0.48,47.54
"Saudi Arabia",2020,"Parkinson's Disease","Metabolic",13.74,5.45,7.05,"Senior","Female",465971,51.41,1.74,7.38,"Vaccination",39624,"No",80.88,1219,4.85,5953,0.52,39.92
"China",2024,"Leprosy","Genetic",8.56,8.05,7.62,"Child","Other",593631,99.84,1.78,8.48,"Vaccination",28409,"Yes",78.99,640,1.74,70110,0.57,32.72
"Saudi Arabia",2024,"Leprosy","Cardiovascular",0.23,10.26,6,"Young Adult","Other",349041,71.94,2.95,5.78,"Surgery",2775,"No",58.22,2237,7.48,4205,0.5,59.04
"Australia",2020,"Hepatitis","Parasitic",19.03,12.77,6.1,"Young Adult","Male",834196,57.63,1.82,6.14,"Vaccination",15927,"No",53.54,2758,4.87,75475,0.56,42.4
"Turkey",2020,"Alzheimer's Disease","Neurological",3.15,10.61,8.18,"Adult","Other",340360,50.57,0.7,2.99,"Surgery",41553,"No",92.28,2899,6.24,91599,0.5,67.38
"UK",2022,"Cancer","Respiratory",0.24,13.16,6.42,"Young Adult","Female",887962,64.1,3.12,3.41,"Medication",10227,"No",82.8,2028,9.48,30128,0.68,70.39
"France",2020,"Measles","Parasitic",0.3,0.73,8.66,"Adult","Female",779317,56.82,4.11,8.71,"Therapy",31795,"No",51.93,1842,7.28,11427,0.57,76.49
"Mexico",2024,"Polio","Genetic",18.75,9.21,5.07,"Child","Other",887065,50.84,2.44,4.85,"Vaccination",12163,"No",72.26,2763,4.36,75307,0.7,52.24
"Japan",2020,"Asthma","Metabolic",17.69,10.09,1.37,"Child","Male",853614,61.67,4.92,6.46,"Surgery",24935,"Yes",88.94,302,0.45,42168,0.58,72.92
"Germany",2020,"Alzheimer's Disease","Viral",0.42,11.59,2.15,"Child","Male",401385,73.22,3.85,4.14,"Medication",23698,"No",87.65,4849,0.99,29344,0.79,58.29
"Mexico",2024,"Leprosy","Respiratory",15.19,6.46,1.39,"Adult","Male",579230,79.12,0.51,4.22,"Vaccination",8117,"No",75.61,2295,0.05,50952,0.61,85.37
"South Korea",2020,"Hepatitis","Infectious",1.01,1.24,1.87,"Young Adult","Male",158844,54.28,3.58,7.44,"Surgery",28821,"Yes",82.65,4323,2.78,19079,0.6,78.5
"Indonesia",2024,"Diabetes","Chronic",0.27,4.85,5.55,"Adult","Male",541102,55.89,2.39,4.54,"Vaccination",31636,"No",53.4,3600,7.36,52718,0.83,40.98
"Italy",2021,"Zika","Autoimmune",9.7,14.93,7.21,"Child","Other",520298,89.56,2.49,3.69,"Therapy",41735,"Yes",73.14,3496,4.86,45076,0.48,83.95
"Mexico",2024,"Hypertension","Autoimmune",8.7,3.74,3.22,"Senior","Male",845480,66.62,2.47,7.03,"Medication",3376,"No",93.08,1085,0.37,83191,0.64,76.58
"France",2024,"Influenza","Genetic",6.64,14.68,5.28,"Child","Female",100230,62.06,4.2,3.46,"Surgery",48986,"No",73.21,610,2.4,1710,0.8,66.6
"South Africa",2020,"Polio","Viral",15.56,2.72,3.42,"Senior","Male",407951,67.11,3.51,1.74,"Medication",8174,"No",57.16,3342,8.12,9980,0.85,61.31
"Japan",2023,"Diabetes","Genetic",10.59,11.95,0.8,"Child","Female",543454,61.28,3.16,7.86,"Therapy",3737,"No",64.14,1640,3.48,6225,0.68,57
"Germany",2020,"Ebola","Autoimmune",3.54,8.71,0.74,"Young Adult","Male",907673,76.33,1.41,4.36,"Vaccination",13881,"No",95.72,4737,4.05,18617,0.86,84.84
"Brazil",2022,"Leprosy","Parasitic",12.88,1.13,1.88,"Young Adult","Female",902739,96.53,2.63941176470588,9.99,"Surgery",9102,"No",80.01,3245,8.02,12395,0.51,26.55
"Australia",2022,"Parkinson's Disease","Autoimmune",4.4,5.33,0.47,"Senior","Other",192429,75.52,3.64,5.54,"Surgery",25289,"No",89.17,3628,7.44,90997,0.51,25.64
"Canada",2022,"Alzheimer's Disease","Parasitic",1.63,3.54,1.86,"Adult","Female",98772,96.9,4.08,8.37,"Medication",11549,"Yes",76.88,301,3.9,79977,0.65,60.8
"Australia",2020,"Zika","Cardiovascular",12.84,4.63,2.04,"Young Adult","Female",462790,95.74,4.38,3.9,"Surgery",6729,"No",90,1852,7.47,58510,0.6,20.77
"Germany",2024,"Polio","Metabolic",3.48,9.36,2.52,"Senior","Female",957694,75.87,2.24,4.35,"Surgery",39860,"No",90.22,2268,1.01,17780,0.75,28.12
"India",2024,"Parkinson's Disease","Infectious",9.62,5.69,6.19,"Adult","Male",850146,84.2,2.13,5.02,"Surgery",31934,"Yes",97.7,3643,5.21,13790,0.67,22.19
"Turkey",2024,"Asthma","Infectious",10.63,11.65,7.07,"Senior","Other",302301,84.96,4.58,9.5,"Surgery",14282,"No",76,4835,3.89,34117,0.72,52.1
"Turkey",2021,"Leprosy","Genetic",14.44,3.12,8.35,"Senior","Female",808176,98.93,4.12,9.23,"Therapy",47955,"Yes",95.99,866,8.95,36345,0.44,23.77
"Canada",2020,"HIV/AIDS","Bacterial",3.34,10.62,3.5,"Senior","Male",931273,97.58,1.31,6.88,"Vaccination",2212,"No",59.67,1051,4.69,43985,0.75,79.91
"Italy",2022,"Polio","Parasitic",14.43,3.44,7.79,"Adult","Female",5947,78.75,1.41,8.08,"Vaccination",343,"Yes",92.92,320,2.95,21693,0.56,30.42
"South Africa",2024,"Malaria","Metabolic",10.31,14.51,5.39,"Young Adult","Female",263492,55.94,3.09,8.03,"Vaccination",49398,"No",61.29,2966,0.14,22285,0.46,20.44
"South Korea",2023,"COVID-19","Genetic",7.59,7.98,3.78,"Senior","Other",737647,89.19,3.56,5.37,"Therapy",18311,"Yes",50.67,4766,6.8,73004,0.69,71.56
"India",2023,"Measles","Parasitic",2.19,13.8,4.5,"Child","Female",275879,65.63,3,8.09,"Vaccination",46078,"Yes",53.87,1302,4.02,88000,0.84,49.29
"South Korea",2023,"Ebola","Infectious",15.88,5.94,2.75,"Adult","Other",175997,97.03,2.85,5.38,"Vaccination",39685,"No",63.07,338,0.49,52303,0.47,20.44
"Turkey",2022,"Cancer","Viral",4.63,4.35,3.07,"Young Adult","Other",355252,71.48,1.66,1.31,"Vaccination",6273,"Yes",66.96,4900,9.8,93254,0.8,80.12
"Brazil",2022,"Diabetes","Autoimmune",1.09,5.45,7.12,"Senior","Other",320217,81.86,0.77,2.09,"Therapy",35274,"No",92.24,2947,7.47,6406,0.8,30.14
"Nigeria",2022,"Zika","Respiratory",17.11,7.8,6.8,"Senior","Other",748948,88.64,4.16,2.4,"Medication",46557,"Yes",90.67,1275,2.67,58177,0.74,60.54
"Indonesia",2021,"Polio","Neurological",19.57,13.36,9.75,"Child","Other",758594,73.77,0.87,3.01,"Medication",44265,"No",85.16,3450,8.43,37290,0.74,88.4
"France",2024,"Measles","Bacterial",2.02,13.31,7.1,"Child","Other",723830,75.0097594501718,1.54,3.56,"Vaccination",33520,"No",79.28,3665,9.77,50239,0.5,52.88
"Australia",2024,"Diabetes","Neurological",11.66,2,6.48,"Child","Female",608653,84.96,3.72,3.57,"Vaccination",15011,"Yes",67.61,3619,0.77,43762,0.41,32.87
"Saudi Arabia",2024,"COVID-19","Autoimmune",12.77,5.74,1.61,"Child","Other",916167,52.41,1.01,4.09,"Therapy",16348,"Yes",85.33,1321,2.56,42115,0.69,62.53
"Indonesia",2024,"Hypertension","Chronic",18.01,9.17,1.3,"Senior","Female",902447,82.38,3.15,1.75,"Surgery",48427,"Yes",95.05,2497,3.64,89378,0.69,55.94
"South Korea",2021,"Malaria","Autoimmune",14.52,9.94,0.74,"Child","Other",847540,61.23,3.1,7.8,"Vaccination",5477,"Yes",89.91,426,8.98,46019,0.71,25.02
"Nigeria",2021,"Cholera","Genetic",17.17,5.26,1.59,"Adult","Female",96967,77.04,0.97,1.03,"Vaccination",22257,"No",87.9,254,1.84,31815,0.83,69.26
"Brazil",2023,"Polio","Viral",0.2,11.02,5.85,"Child","Other",258730,82.45,1.59,9.03,"Medication",46825,"No",83.49,4465,6.35,30698,0.61,50.73
"Nigeria",2023,"Tuberculosis","Autoimmune",19.12,4.77,7.53,"Young Adult","Male",475349,51.68,2.15,8.68,"Surgery",26718,"Yes",97.96,2362,8.64,54400,0.85,26.89
"Saudi Arabia",2024,"Cholera","Respiratory",16.32,6.68,9.95,"Young Adult","Male",841796,64.95,2.96,1.52,"Therapy",48868,"No",72.96,2962,0.46,74618,0.65,23.81
"Germany",2021,"Rabies","Cardiovascular",2.01,3.29,8.35,"Child","Male",452733,83.88,0.99,1.63,"Medication",22120,"No",56.94,4627,9.06,72597,0.71,31.96
"Canada",2021,"Measles","Chronic",19.73,5.31,0.74,"Adult","Female",211006,78.3,4.97,7.39,"Vaccination",36600,"Yes",87.47,1804,6.16,70451,0.47,58.71
"Japan",2022,"Hepatitis","Metabolic",5.53,3.76,9.23,"Senior","Male",798665,76.53,2.25,8.46,"Surgery",1547,"No",82.86,4516,4.6,77471,0.77,27.36
"UK",2023,"HIV/AIDS","Bacterial",11.57,4.36,9.08,"Adult","Female",578664,76.05,2,1.22,"Surgery",37068,"No",51.17,4499,4.31,90566,0.74,44.21
"Turkey",2020,"Zika","Cardiovascular",9.22,8.28,3.85,"Adult","Female",565914,92,2.53,4.75,"Vaccination",23745,"No",75.22,450,5.96,6721,0.44,26.59
"France",2023,"HIV/AIDS","Genetic",16,10.26,8.61,"Adult","Male",190226,90.9,2.82,7.07,"Vaccination",9881,"No",68.25,4525,0.19,50836,0.69,79.22
"South Africa",2021,"COVID-19","Chronic",9.75,13.68,2.57,"Senior","Male",835753,55.99,1.77,2.59,"Medication",15439,"No",73.24,2321,4.16,60698,0.77,33.65
"France",2022,"Cancer","Autoimmune",3.53,8.38,9.82,"Young Adult","Male",335337,97.76,2.69,8.76,"Vaccination",17893,"Yes",95.16,1082,2.09,31468,0.67,64.73
"South Africa",2021,"Parkinson's Disease","Bacterial",19.6,6.44,6.61,"Senior","Male",597963,79.88,4.38,5.47,"Vaccination",9418,"No",87.9,2865,5.13,83208,0.41,51.3901886792453
"Brazil",2022,"Diabetes","Parasitic",17.4,2.08,9.51,"Adult","Female",157755,92.65,3.86,4.22,"Surgery",42874,"Yes",60.63,3792,6.76,31439,0.63,88.29
"Brazil",2022,"Dengue","Metabolic",4.79,5.37,0.72,"Senior","Male",802851,84.67,1.47,6.96,"Vaccination",1,"Yes",77.2,47,5.6,84426,0.64,75.25
"Turkey",2020,"Hypertension","Genetic",7.69,10.04,4.97,"Young Adult","Female",388151,86.92,1.62,7.99,"Medication",30721,"Yes",55.25,2012,6.36,39134,0.52,83.62
"Brazil",2022,"Hepatitis","Neurological",10.12,7.34,5.06,"Young Adult","Female",782442,69.22,2.83,8.84,"Surgery",43992,"No",59.07,3582,6.93,14517,0.6,32.01
"Nigeria",2022,"Influenza","Neurological",0.51,12.89,3.86,"Child","Other",787718,54.61,0.85,2.65,"Vaccination",41609,"No",60.77,2146,1.53,76477,0.62,79.27
"Brazil",2023,"Tuberculosis","Cardiovascular",9.35,5.78,1.04,"Child","Female",661806,68.81,3.84,7.27,"Medication",31423,"No",86.41,1439,1.55,49240,0.86,63.31
"Argentina",2020,"Cholera","Viral",5.04,8.5,5.56,"Adult","Female",438633,59.11,4.55,7.14,"Medication",5102,"Yes",78.46,1964,9.63,93621,0.5,56.12
"South Africa",2022,"Malaria","Metabolic",7.02,12.92,9.81,"Young Adult","Other",747088,90.82,1.13,1.02,"Therapy",8626,"No",74.85,2731,4.3,13080,0.6,35.93
"UK",2020,"Hepatitis","Infectious",10.36,3.09,5.42,"Adult","Other",308166,56.43,3.14,4.6,"Surgery",22296,"Yes",68.41,3905,3.13,59531,0.53,49.37
"Australia",2022,"Cholera","Parasitic",16.6,10.99,7.74,"Senior","Male",236220,55.87,0.86,1.9,"Medication",20279,"No",87.02,372,1,51822,0.61,79.92
"Italy",2022,"Diabetes","Respiratory",12.56,1.61,6.32,"Senior","Female",526548,97.5,4.27,3.65,"Surgery",12993,"Yes",81.66,4829,5.18,51706,0.86,69.32
"Australia",2021,"Cancer","Autoimmune",6.79,13.93,9.08,"Adult","Male",912888,51.03,3.39,4.83,"Surgery",1,"No",56.87,4889,6.47,56083,0.6,48.53
"Saudi Arabia",2021,"Dengue","Autoimmune",7.92,6.54,4.13,"Child","Other",51590,50.68,3.29,8.76,"Therapy",4449,"No",72.85,3602,0.07,49120,0.74,71.7
"Nigeria",2024,"Dengue","Viral",13.72,9.98,7.44,"Child","Male",517293,63.8,2.97,5.83,"Medication",23712,"No",80.1,2677,5.18,97267,0.87,68.38
"USA",2024,"Asthma","Metabolic",7.12,11.34,4.41,"Child","Male",881598,55.16,4.62,9.2,"Medication",15476,"Yes",97.73,2825,4.15,38831,0.58,81.06
"Mexico",2022,"Zika","Cardiovascular",5.81,12.89,6.96,"Young Adult","Male",386943,58.56,4.26,3.96,"Surgery",6151,"No",67.26,291,7.67,63017,0.76,22.3
"USA",2022,"Measles","Neurological",6.04,13.51,9.52,"Young Adult","Female",306567,81.13,2.18,4.73,"Vaccination",25719,"Yes",66.8,1919,8.39,57721,0.82,73.31
"Brazil",2024,"Polio","Viral",9.04,2.09,6.85,"Young Adult","Female",788819,88.46,0.84,9.75,"Therapy",11309,"No",55.58,436,5.94,93938,0.54,22.64
"South Africa",2024,"COVID-19","Chronic",15.79,3.37,3.49,"Child","Other",963670,95.96,3.69,6.22,"Medication",33311,"No",67.41,2594,5.92,79056,0.56,75.1
"Mexico",2020,"COVID-19","Bacterial",7.16,11.13,1.68,"Senior","Male",222288,90.48,2.54,3.92,"Vaccination",27810,"Yes",73.28,2910,0.32,6763,0.41,48.52
"Russia",2022,"Cancer","Infectious",18.18,11.51,8.86,"Senior","Male",468807,89.6,0.75,3.23,"Therapy",35295,"Yes",94.61,4365,5.2,17195,0.87,66.77
"Argentina",2020,"HIV/AIDS","Parasitic",1.1,8.38,5.11,"Senior","Other",19167,97.57,4.14,9.01,"Medication",783,"No",58.67,2880,2.7,98057,0.56,27.88
"India",2024,"HIV/AIDS","Metabolic",1.08,5.03,4.88,"Adult","Male",877787,66.9,4.76,6.64,"Therapy",24649,"Yes",86.91,3555,0.77,4711,0.59,87.54
"Brazil",2021,"COVID-19","Cardiovascular",17.95,7.89,9.27,"Adult","Male",690762,53.26,4.99,5.42,"Vaccination",33517,"Yes",98.16,1259,3.5,13922,0.7,52.47
"South Africa",2023,"Hypertension","Genetic",5.02,10.38,7.02,"Senior","Male",302314,90.1,1.71,3.91,"Therapy",31365,"No",88.6,4077,7.78,22179,0.65,61.34
"India",2020,"COVID-19","Infectious",11.72,4.85,5.17,"Senior","Female",630148,93.45,0.6,5.59,"Therapy",29361,"No",61.94,3078,3.2,63029,0.89,80.82
"Indonesia",2024,"Tuberculosis","Chronic",18.63,2.43,9.84,"Young Adult","Other",497428,53.58,4.81,4.77,"Vaccination",2711,"No",68.1,401,7.76,27651,0.88,75.68
"Russia",2020,"Rabies","Viral",17.41,5.61,2.97,"Senior","Female",6056,85.59,1.55,1.48,"Surgery",45942,"Yes",54.32,3528,3.64,86707,0.79,89.82
"Indonesia",2024,"Diabetes","Viral",15.79,7.13,1.61,"Adult","Male",488416,60.38,2.56,6.08,"Therapy",9498,"Yes",72.03,966,5.48,14791,0.81,57.48
"Italy",2020,"Diabetes","Parasitic",8,9.1,0.61,"Adult","Other",346137,92.93,3.79,8.25,"Surgery",35721,"Yes",52.32,739,9.34,72493,0.62,66.82
"Saudi Arabia",2021,"Alzheimer's Disease","Bacterial",3.44,0.81,4.99,"Adult","Male",322134,64.65,1.72,6.98,"Vaccination",1560,"No",72.22,1289,7.85,66792,0.4,89.82
"France",2023,"HIV/AIDS","Metabolic",18.2,9.54,1.82,"Adult","Other",166687,59.04,2.58,7.54,"Vaccination",14170,"Yes",79.87,2590,3.19,94299,0.85,63.65
"India",2023,"Asthma","Autoimmune",12.87,13.09,1.91,"Young Adult","Female",806515,83.3,2.9,1.99,"Medication",14593,"No",74.76,351,3.47,26916,0.89,68.96
"Nigeria",2023,"Cancer","Respiratory",10.22,10.76,5.25,"Child","Male",364937,93.09,1.86,7.55,"Vaccination",43042,"Yes",68.07,4031,4.08,29779,0.63,39.32
"South Korea",2024,"Dengue","Parasitic",2.96,10.83,7.69,"Senior","Male",762672,97.73,1.61,7.91,"Therapy",4052,"Yes",61.79,4165,8.23,34416,0.89,48.8
"USA",2021,"Hepatitis","Genetic",18.36,0.62,6.35,"Adult","Other",917569,95.23,3.35,7.82,"Vaccination",40680,"No",81.1,3061,0.72,26528,0.61,40.16
"Saudi Arabia",2021,"Malaria","Parasitic",16.43,1.69,6.77,"Child","Male",342460,68.84,3.95,0.78,"Vaccination",41974,"No",94.71,1582,9.32,48466,0.68,37.98
"UK",2023,"Tuberculosis","Chronic",5.68,14.14,1.07,"Senior","Female",708932,92.32,1.08,5.76,"Therapy",20443,"Yes",54.65,1201,8.23,47767,0.46,53.86
"Canada",2022,"Alzheimer's Disease","Infectious",4.86,11.76,2.89,"Adult","Male",622587,74,3.6,2.98,"Therapy",5161,"No",80.68,1595,8.56,20290,0.6,70.83
"UK",2023,"Malaria","Autoimmune",19.76,4.75,8.47,"Adult","Male",237312,61.85,2.08,1.61,"Therapy",14673,"No",55.79,863,8.01,93128,0.77,84.05
"Germany",2020,"Alzheimer's Disease","Cardiovascular",0.75,8.48,2.66,"Young Adult","Female",982702,56.6,2.96,2.94,"Therapy",48548,"No",98.96,456,0.92,30076,0.79,79.62
"Germany",2020,"Hepatitis","Autoimmune",17.58,3.51,0.16,"Senior","Other",996877,68.76,0.63,4.21,"Medication",35339,"Yes",52.02,1860,7.74,24989,0.77,87.53
"India",2021,"Dengue","Autoimmune",18.73,9.96,2.97,"Senior","Female",942029,78.54,4.12,7.56,"Vaccination",44356,"No",70.97,1242,6.57,3818,0.8,21.19
"Germany",2021,"Influenza","Respiratory",2.73,0.57,8.45,"Child","Female",532073,70.46,4.01,3.86,"Therapy",47532,"Yes",55.08,3105,3.7,81293,0.44,67.66
"Mexico",2022,"Cancer","Chronic",7.44,2.47,1.26,"Young Adult","Male",424975,85.06,3.55,0.71,"Surgery",5696,"No",93.19,1271,3.45,1500,0.73,23.78
"China",2024,"Leprosy","Respiratory",14.04,14.64,6.1,"Senior","Other",606221,52.39,0.58,9.8,"Vaccination",2626,"No",82.34,4204,4.27,85951,0.89,64.16
