"country","year","disease_name","disease_category","prevalence_rate","incidence_rate","mortality_rate","age_group","gender","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","treatment_type","average_treatment_cost_usd","availability_of_vaccines_treatment","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
5,2022,6,3,10.26,2.92,1.06,0,0,455782,74.49,4.07,1.45,3,32267,0,88.75,2983,0.1,16928,0.67,75.5
6,2020,7,8,7.23,13.18,2.4,3,1,640089,77.08,1.25,9.76,2,38701,0,89.11,3835,9.81,6483,0.72,120
0,2020,10,2,2.68,4.05,0.38,1,1,815094,87.65,4.83,1.09,3,1444,1,61.26,4686,8.27,3763,0.66,74.95
5,2020,13,9,14,0.66,9.92,2,2,746581,57.43,0.87,5.3,2,32683,0,51.83,3004,0.01,60280,0.87,30.79
5,2020,19,0,3.57,10.49,3.47,2,0,722364,75.68,3.53,6.97,3,30301,0,62.05,3418,1.74,42798,0.73,76.23
0,2020,12,7,14.37,11.11,9.86,2,0,499092,87.23,1.72,4.32,2,27295,0,94.52,3890,1.65,94526,0.85,50.09
6,2024,19,3,13.27,2.19,6.14,3,1,193585,67.27,0.79,6.32,0,26798,1,71.77,3714,0.7,6090,0.7,70.41
1,2021,1,9,18.55,9,1.91,3,1,468485,54.4,0.88,0.51,3,27903,1,77.46,4653,0.11,59338,0.62,70.46
3,2024,10,2,15.65,3.06,6.34,3,1,767194,96.15,3.37,2.18,3,772,1,87.51,2879,4.34,14594,0.84,52.5
4,2023,13,4,1.84,9.47,4.43,1,2,288244,84.57,2.71,7.59,2,30534,0,89.47,1374,5.06,84934,0.76,27.42
4,2020,13,1,0.13,6.3,4.81,3,1,564578,82.36,2.58,4.74,3,17687,0,55.17,2563,4.34,67371,0.73,52.72
2,2022,19,1,19.12,3.97,6.79,0,1,758767,61.1,1.05,2.97,0,25673,0,68.96,1011,0.31,81624,0.62,78.59
0,2022,4,6,4.12,5.1,2.2,3,2,386498,77.05,4.78,4.8,1,23164,1,85.86,367,8.52,69215,0.81,30.13
2,2020,10,7,14.58,13.46,0.46,3,2,708431,78.93,2.04,2,2,10173,0,67.66,351,3.76,33268,0.79,81.46
0,2024,16,5,12.09,4.18,9.25,1,2,92242,56.36,2.97,5.96,0,25666,1,72.28,3624,4.43,53825,0.67,83.44
4,2022,3,8,8.57,2.15,1.94,0,0,354473,77.08,3.17,9.47,0,6082,0,81.44,1982,6.02,94505,0.54,43.08
3,2021,19,5,14.36,9.72,5.445,1,0,119285,56.75,0.59,2.2,3,40071,0,76.52,1569,6.23,36512,0.42,29.61
6,2024,5,3,7.18,14.24,1.22,1,1,93813,55.56,3.24,8.48,1,12458,1,79.13,2045,2.32,67806,0.44,47.92
6,2024,3,6,11.66,0.5,4.19,1,2,450084,63.27,3.27,7.76,1,47475,1,57.69,80,2.35,67247,0.76,88.05
2,2020,9,0,6.12,13.4,0.76,3,2,277713,74.01,3.94,7.28,0,12605,1,67.09,4935,6.32,66429,0.77,59.17
6,2022,14,3,9.26,7.61,0.74,3,2,612702,97.44,0.74,7.22,3,3720,0,89.76,3599,0.93,25198,0.43,43.22
2,2020,12,1,1.06,7.19,4.96,3,0,200896,52.97,4.05,4.18,1,38177,0,90.44,101,9.2,24292,0.6,88.27
3,2023,18,5,9.36,2.12,6.03,0,2,173811,62.59,2.47,7.34,0,15413,0,75.97,3486,4.68,48589,0.52,55.41
3,2021,6,6,0.24,8.22,4.11,0,1,411283,95.49,3.27,2.17,1,2652,0,73.52,3212,6.5,15228,0.75,89.91
5,2020,17,10,3.66,3.14,7.54,3,0,180341,80.17,2.93,5.196764706,0,36932,1,93.97,98,7.74,67499,0.68,33.52
5,2020,13,1,18.92,4.64,7.74,2,0,355637,73.53,4.1,5.71,2,35018,0,56.85,2900,6.62,74852,0.66,32.77
2,2024,4,2,11.025,9.09,6.31,2,0,301213,58.56,0.89,7.17,1,20743,1,97.73,2763,2.38,56901,0.58,63.87
6,2023,3,4,4.63,1.3,3.28,2,0,339997,82,4.27,7.34,1,20708,0,62.3,621,2.94,95695,0.68,78.81
3,2023,13,7,17.11,11.92,8.24,1,2,701501,55.01,1.3,6.34,3,30625,0,66.22,818,2.64,10974,0.81,44.04
7,2023,0,6,12.52,4.61,2.69,0,0,661800,75.79715805,2.01,3.85,3,28319,0,52.8,1753,5.91,88647,0.62,48.62
5,2022,7,5,0.22,0.26,5.56,3,1,44143,90.02,3.9,2.95,1,43167,0,88.7,797,3.67,69631,0.61,80.6
2,2021,3,8,13.92,13.63,7.37,1,2,530927,88.83,2.16,0.5,3,247,1,96,3175,5.79,8815,0.47,74.39
5,2021,13,10,9.05,9.29,1.26,1,0,670951,89.58,2.84,5.37,2,23247,0,66.77,57,1.81,10292,0.46,34.66
3,2022,6,4,8,6.52,7.87,2,2,292569,72.58,3.18,6.61,1,21512,0,57.1,4554,3.61,70555,0.73,43.31
5,2020,12,6,3.3,12.48,2.51,2,2,689872,66.88,1.22,1.8,2,38215,0,55.61,512,8.81,8076,0.87,45.45
4,2020,14,4,10.21,10.39,5.63,3,0,446014,93.62,1.94,0.52,3,19962,0,98.54,1243,0.38,21781,0.41,64.51
2,2024,6,2,5.41,10.45,0.38,0,0,580470,92.18,4.81,3.09,3,22983,0,79.16,2680,2.96,25381,0.61,79.34
1,2022,5,9,9.18,9.26,8.62,0,1,44807,89.23,1.86,6.86,2,27988.25,0,92.97,2119,8.31,71447,0.66,31.89
4,2024,8,4,14.13,14.24,7.4,0,2,609851,73.07,4.46,1.35,1,21042,1,74.9,1632,0.29,90276,0.73,39.98
4,2024,5,2,9.2,9.38,8.71,0,1,796650,94.87,4.46,6.46,2,44403,1,50.81,3974,0.3,52516,0.64,45.87
6,2024,19,9,16.7,5.075,2.34,1,0,94533,95.94,3.91,3.22,2,12859,0,60.33,1987,3.66,17999,0.58,66.76
2,2023,2,9,10.32,1.64,3.13,1,0,560895,92.52,2.24,4.52,3,24282,1,66.2,2669,8.63,60657,0.48,33.37
3,2024,16,5,13.57,14.03,1.31,1,1,234446,73.33,2.38,4.54,1,3764,0,64.46,749,8.86,71096,0.68,59.82
5,2020,14,2,17.19,6.98,3.37,0,2,531674,87.6,1.99,6.72,1,26404,0,70.43,1367,9.57,50281,0.75,84.13
6,2023,12,10,6.07,2,9.6,0,2,267830,77.74,1.65,6.88,3,30051,0,73.73,1401,6.23,93125,0.49,62.32
0,2020,14,10,14.96,11.37,7.96,0,1,722731,83.63,3.06,4.52,3,4100,0,64,251,8.99,45204,0.61,75.78
6,2023,0,9,14.27,11.95,7.75,1,0,36663,69.39,2.29,2.5,0,8324,1,92.9,117,6.77,75111,0.89,32.9
5,2024,7,8,16.6,0.55,5.84,1,2,623998,87.39,1.83,2.61,1,34062,0,90.36,4768,4.14,60149,0.69,31.53
6,2023,15,1,4.77,2.94,5.92,0,2,447727,96.36,4.13,7.23,2,31647,0,69.73,1742,3.96,91290,0.68,68.78
3,2020,11,5,4.93,11.87,3.34,1,1,287384,72.59,2.51,9.06,2,41648,0,71.58,1837,6.66,74960,0.44,69.4
2,2024,10,7,17.05,11.69,2.19,1,0,434403,93.31,3.84,3.57,0,25856,1,66.21,2416,6.59,40182,0.52,37.33
4,2023,12,7,15.42,4.86,3.37,2,2,635244,96.93,3.16,5.57,2,28257,0,75.23,2940,7.08,49867,0.59,38.99
7,2022,19,0,9.25,8.45,9.34,1,2,114491,76.14,2.06,1.73,3,23009,1,73.42,4514,6.03,50753,0.41,38.45
5,2021,16,6,12.1,12.44,6.32,3,2,733645,77.58,2.01,5.17,2,49993,0,95.82,2450,8.27,15190,0.63,50.45
5,2022,0,10,2.26,6.86,4.6,2,2,962979,62.39,2.46,1.1,1,48894,1,73.37,1837,2.4,51244,0.53,22.14
6,2021,16,8,0.99,11.8,3.69,0,0,281861,90.89,2.21,9.68,2,32109,0,84.51,4120,2.45,68181,0.56,75.25
4,2020,4,7,4.06,0.97,4.66,0,1,818713,52.05,3.61,7.85,3,9918,0,57.55,3041,3.99,87273,0.49,49.6
7,2021,19,5,0.73,5.4,0.54,1,1,297468,77.33,3.83,8.51,2,8917,1,78.11,4714,9.58,98565,0.59,84.95
4,2022,11,8,5.98,11.22,0.15,0,2,504203,81.26,4.8,7.41,0,30783,1,73.61,429,5.79,8916,0.62,55.95
6,2023,18,3,18.37,2.18,7.08,0,2,676411,63.84,2.8,3.76,1,30302,1,50.28,2329,8.14,12939,0.45,79.8
5,2021,4,7,3.1,3.19,3.83,3,2,573275,97.22,2.58,1.17,2,25467,1,95.42,4646,6.73,92854,0.9,72.87
7,2024,15,0,17.57,3.98,8.86,1,1,460860,59.35,0.75,4.02,2,28520,1,82.53,3986,2,70988,0.7,54.33
3,2021,16,3,17.66,11.24,2.86,1,1,116056,80.74,3.01,2.98,3,40434,1,90.4,1429,4.74,42426,0.46,48.64
1,2023,10,3,11.25,12.82,0.35,2,2,995384,61.09,3.86,6.67,0,21075,0,70.72,871,8.03,7044,0.56,31.65
1,2021,19,3,13.14,12.07,9.93,2,1,129905,94.56,3.17,0.73,1,39896,0,61.61,3608,0.69,76196,0.87,87.36
7,2020,3,2,12.93,13.03,3.95,0,2,199508,99.78,4.57,9.54,2,41523.83333,1,89.78,4777,5.75,81792,0.71,74.86
1,2022,13,10,9.74,1.39,0.77,1,2,689936,66.78,1.97,2.89,3,6629,1,80.49,620,3.72,33508,0.74,29.99
7,2022,8,10,2.48,5.58,8.42,1,2,409368,88.75,1.75,7.02,0,1743,1,64.67,1576,7.65,71996,0.46,47.58
2,2020,10,10,14.92,10.22,6.12,2,2,728746,70.76,2,5.41,0,6144,1,69,2178,8.15,31034,0.48,54.35
3,2023,1,4,3.36,12.82,0.48,1,2,374561,86.65,1.72,1.09,2,38606,1,98.16,4545,0.06,55462,0.6,38.59
3,2024,5,8,17.69,12.87,7.22,3,0,905256,54.71,0.84,6.49,1,46065,1,76.47,4829,2.98,43649,0.63,88.07
3,2020,10,6,14.6,10.56,0.78,2,1,496683,62.76,0.92,3.55,0,19240,0,56.1,1948,5.65,26607,0.69,80.23
1,2021,12,2,13.34,8.95,0.82,1,2,861627,75.04894061,4.46,3.21,2,3342,0,62.23,4329,2.65,72836,0.54,72.76
0,2021,6,6,11.72,7.44,6.79,3,2,424707,80.29,2.66,9.65,1,30934,1,70.18,4872,8.9,10860,0.43,66.8
5,2022,0,9,6.47,6.27,0.14,0,0,356844,79.86,4.57,6.1,1,10826,1,50.89,1037,6.59,65667,0.84,45.52
1,2020,14,6,17.54,10.25,2.12,0,1,314471,53,1.69,6.26,1,274,1,72.38,806,3.39,21391,0.88,46.28
6,2024,5,10,17.9,10.53,7.43,3,0,548372,85.1,2.68,7.17,2,3020,1,56.27,3610,5.48,77811,0.61,41.43
0,2024,0,2,18.46,7.76,1.79,2,0,633456,94.09,1.95,8.95,3,30769,1,80.77,1960,7.33,55217,0.71,54.61
6,2023,5,7,2.84,7.76,5.7,2,2,822476,91.33,2.32,9.64,1,1,1,51.68,2088,8.51,59618,0.84,85.16
0,2021,18,5,6.96,7.79,3.27,1,2,42377,65.58,2.53,5.65,2,22013,1,91.72,4182,8.01,21520,0.43,28.99
0,2020,14,9,9.29,4.83,5.31,1,0,112547,55.25,3.77,4.91,3,38832,1,72.86,1196,3.49,56276,0.9,64.36
2,2021,7,2,18.86,3.9,3.4,3,2,125980,64.44,2.09,7.18,2,36883,0,95.33,2978,6.87,75147,0.79,24.55
7,2022,5,8,15.04,7.28,4.15,2,0,418006,97.42,4.55,9.21,2,22221,1,63.6,4429,3.5,85582,0.48,85.78
3,2022,7,6,1.84,0.24,9.44,3,1,869632,55.85,1.55,7.37,0,47418,0,53.33,2918,6.12,50910,0.77,68.71
5,2021,2,10,10.52,2.2,4.57,1,1,469627,94.03,2.58,1.38,2,47720,1,81.54,1618,4.27,87499,0.59,64.44
4,2023,13,2,3.79,7.98,7.88,2,2,802731,73.49,1.38,5.62,1,31824,1,55.43,1141,5.37,22473,0.55,56.96016129
7,2023,7,5,19.51,12.57,3.79,0,0,681544,81.31,2.18,2.95,2,19439,0,78.65,159,8.24,32839,0.82,61.77
0,2023,5,7,0.28,14.22,1.52,2,1,748083,72.87,3.24,5.52,1,25666,1,72.92,2403,3.51,82778,0.62,32.23
1,2024,2,9,16.19,7.47,0.13,2,1,738456,64.58,3.3,1.27,3,44951,0,76.74,773,1.2,38506,0.86,66.36
6,2024,1,3,17.57,5.64,9.68,0,2,773830,82.54,2.54,0.77,0,36006,0,58.11,1824,3.84,37353,0.78,87.74
6,2021,9,2,13.51,7.28,7.58,3,1,573723,51.19,3.12,4.29,0,43567,1,80.58,2225,4.97,13277,0.47,63.46
1,2023,19,5,3.39,10.74,1.71,0,1,112912,86.87,4.11,6.45,2,33955,1,56.37,4627,5.3,8400,0.83,55.85
7,2022,13,0,3.34,0.23,9.46,2,0,83079,57.03,1.14,4.71,3,43821,1,57.31,71,7.39,97766,0.83,43.54
0,2021,7,10,6.81,13.15,0.93,3,2,186889,55.51,2.26,1.12,3,46835,0,65.56,2765,8.4,49733,0.52,38.86
3,2020,3,6,13.01,13.68,4.58,0,0,344451,62.14,2.33,5.36,1,29022.44444,1,94.07,1365,7.45,56364,0.69,52.51
6,2024,17,2,12.89,12.16,7.41,1,1,143659,52.94,4.75,9.21,3,35135,1,90.22,825,9.64,996,0.84,56.85
1,2021,7,6,12.88,11.3,4.32,3,1,518788,70.11,1.99,5.89,0,37276,1,96.39,4199,0.91,90528,0.8,27.9
4,2024,18,9,11.93,7.19,9.65,3,2,276380,81.64,4.63,3.79,0,32275,0,77.57,3231,8.6,6467,0.85,81
5,2024,18,3,12.23,1.09,0.76,2,0,145488,58.31,2.606929825,2.39,2,32755,1,78.08,2223,3.44,84406,0.42,81.69
1,2021,6,4,16.79,4.63,5.15,3,2,47207,58.74,2.4,7.62,3,38325,1,82.53,1854,9.41,76415,0.7,45.35
6,2023,11,0,0.84,1.96,4.94,0,1,266197,67.21,2.55,9.91,2,13900,0,95.35,22,5.58,45457,0.55,75
6,2024,11,7,10.27,2.98,6.66,0,0,450631,93.95,3.37,1.43,2,34674,1,59.94,706,3.39,46693,0.88,30.92
6,2022,6,8,5.67,5.88,9.93,1,0,534605,99.55,0.85,2.51,0,23636,1,77.52,1879,0.53,41535,0.67,51.92
0,2022,7,10,9.23,0.66,2.93,3,0,588002,55.14,2.98,7.59,0,14848,1,79.31,551,9.94,75882,0.89,27.6
4,2023,5,0,8.02,11.66,0.58,3,2,6285,98.8,1.27,5.34,3,30813,0,72.45,4120,4.24,75844,0.68,56.96016129
2,2021,10,1,9.4,9.29,0.83,3,1,522052,88.36,1.56,3.67,2,36071,0,57.96,1294,4.84,37901,0.5,89.86
6,2021,18,5,6.27,9.35,0.2,0,0,139335,66.81,4.83,8.98,0,37529,0,83.35,3461,0.43,89669,0.52,45.32
3,2022,5,6,15.43,2.36,0.16,3,0,248606,88.49,4.1,7.78,2,3245,0,54.06,4224,8.72,23992,0.89,67.41
5,2024,9,9,1.3,10.24,9.66,3,1,708358,84.89,4.85,0.94,3,17224,1,63.1,4045,1.53,9656,0.4,30.56
5,2024,6,7,19.97,7.75,2.84,3,1,443675,81.76,4.66,0.62,1,48403,0,71.12,3477,6.09,13167,0.76,53.61
0,2023,19,10,7.58,10.12,4.62,2,2,976447,74.14046901,3.76,8.2,2,20796,1,68.04,2712,7.95,80271,0.7,83.03
2,2021,12,4,10.41,9.67,1.17,3,1,269949,91.91,2.05,7.74,3,23359,0,58.84,1903,7.52,35077,0.46,69.17
4,2021,4,6,0.31,3.1,5.36,2,0,197150,65.73,3.14,5.4,0,34226,0,51.96,1898,2.08,74384,0.57,29.43
6,2020,5,10,8.14,4.66,5.01,1,0,123284,66.14,2.11,2.05,3,19355,1,60.72,1248,7.5,64825,0.45,38.37
6,2022,6,2,19.68,7.24,4.82,0,0,693785,52.81,1.23,2.81,1,1515,0,84.51,683,0.72,98739,0.53,41.14
6,2023,7,0,3.89,0.32,0.78,2,0,792770,99.87,2.39,1.5,2,17523,0,88.07,3159,0.33,59900,0.01,34.97
2,2023,6,4,1.18,9.73,4.78,1,1,321543,57.81,1.96,2.5,2,29367,1,68.45,3595,2.96,74106,0.43,22.23
7,2024,10,5,19.96,8.52,3.77,3,1,686688,55.48,2.04,7.42,0,41916,0,92.29,1755,0.76,40290,0.87,72.38
1,2020,6,4,0.52,12.19,9.92,3,0,802603,61.75,3.7,3.53,0,13185,0,92.25,4246,1.44,73330,0.57,80.91
6,2023,18,3,10.21,1.42,8.45,3,2,45587,67.42,4.61,4.64,1,11953,0,66.5,2313,0.92,17076,0.42,73.45
4,2024,6,10,12.73,10.81,0.65,2,2,913505,99.44,3.96,8.62,0,6209,0,72.3,4888,3.16,32981,0.6,27.7
5,2020,11,8,6.44,0.82,3.8,3,2,359710,95.67,3.31,4.74,2,4523,0,96.76,58,8.95,84380,0.66,40.06
7,2023,14,6,6.77,9.62,1.84,2,0,655749,99.07,1.67,5.43,3,13161,1,95.27,3482,1.87,53182,0.64,50.62
3,2022,9,3,8.85,5.19,9.09,3,1,657056,87.31,3.28,5.02,3,33874,1,65.5,645,6.54,86724,0.51,30.52
2,2021,15,1,13.93,4.81,2.96,2,2,960807,81.4,3.16,3.34,0,31224,1,95.98,4619,3.2,55255,0.57,72.55
4,2024,19,7,11.6,1.58,0.6,2,0,994290,52.59,4.77,6.98,1,28707,1,87.65,2867,5.9,8016,0.73,60.44
0,2022,13,10,11.74,12.58,9.74,1,0,811285,92.63,0.57,3.94,0,11953,0,82.28,3554,8.76,74395,0.48,36.3
3,2021,11,1,18.59,5.06,6.19,1,2,941818,87.55,4.95,1.71,2,40207,1,64.55,1632,3.83,72334,0.67,43.03
7,2021,3,8,11.66,6.75,1.48,3,2,209532,56.73,4.74,5.24,1,17311,1,61.91,1707,0.01,15081,0.41,54.91
3,2024,0,6,7.48,14.93,1.32,1,1,199162,95.11,1.73,5.96,3,19232,1,70.1,1577,3.2,21345,0.83,85.19
7,2024,19,2,8.21,14.1,4.47,2,1,580738,95.33,3.43,1.84,3,18934,1,74.35,4277,0.85,24545,0.67,53.89
7,2024,17,10,18.61,12.64,6.92,1,2,506991,70.38,0.59,7.44,1,18831,0,67.98,3466,6.24,69202,0.5,66.75
0,2023,2,3,9.9,6.66,2.79,0,1,247307,76.49,3.02,9.64,1,18456,0,91.48,529,6.35,99886,0.66,74.92
3,2020,9,4,19.18,7.38,1.75,0,2,356621,51.87,4.61,4.36,0,31538,1,70.29,4674,8.02,955,0.87,37.38
1,2022,6,10,17.86,9.74,6.19,1,0,205935,51.33,4.3,0.9,1,25035,0,97.31,3001,3.34,14448,0.86,59.9
6,2021,2,7,2.7,2.28,8.83,0,1,854621,54.9,2.26,1.53,3,36713,0,62.83,2602,2.26,51158,0.42,72.22
0,2021,15,1,3.59,3.4,4.84,2,2,725203,74.76,2.97,9.59,0,43217,0,93.19,2145,6.01,84877,0.55,86.21
7,2023,9,6,18.28,3.41,1.54,2,2,51121,94.91,4.08,8.97,1,28015,0,82.21,4975,7.23,21736,0.74,64.59
0,2020,5,5,13.01,3.42,0.3,2,1,163991,74.14046901,2.83,1.35,0,17487,0,51.56,532,7.93,47224,0.88,24.3
7,2024,7,8,17.32,12.11,7.75,1,1,200937,54.12,2.79,7.49,0,7072,1,62.4,2617,5.74,68769,0.63,35.6
7,2023,0,0,2.16,7.25,8.82,3,0,970320,89.36,0.55,0.6,0,36232,0,85.23,2254,6.69,39556,0.55,28.58
1,2022,1,7,7.01,13.6,1.09,3,0,399219,76.78,3.01,7.51,0,12349,0,54.33,4465,4.6,85547,0.48,58.98
7,2024,19,8,17.67,13.69,3.63,2,1,704864,95.76,3.46,5.39,2,16117,1,93.53,2958,0.56,29779,0.68,49.65
1,2022,5,7,4.65,4.6,4.19,0,1,872513,84.22,3.08,0.82,0,34315,1,69.58,3125,7.89,42252,0.59,22.7
0,2022,1,10,17.33,2.15,4.86,0,2,42362,68.27,3.19,3.28,0,37128,0,73.59,1877,1.25,31121,0.48,45.86
0,2023,11,3,10.77,9.14,3.97,2,2,522554,62.68,3.78,6,2,4471,0,56.72,4120,1.24,45497,0.69,34.71
5,2022,6,1,15,9.41,7.27,3,1,234391,52.73,3.47,4.83,0,42670,1,50.93,1052,5.05,4489,0.43,61.32
1,2023,9,0,4.89,0.47,4.44,2,0,947759,65.82,0.75,5.006434109,3,24959,1,53.79,2719,5.12,87220,0.48,79.56
3,2023,11,7,12.01,14.64,0.54,3,2,714774,94.48,3.59,4.58,1,6030,1,85.16,4836,2.21,46234,0.42,70.17
0,2020,6,8,4.02,9.78,0.23,2,2,828740,55.57,3.57,2.7,3,27283,1,79.94,2514,8.89,1692,0.81,87.99
0,2024,13,3,4.03,4.39,0.42,3,0,44789,56.73,4.42,5.22,0,43272,1,71.04,3255,4.88,87478,0.84,22.13
6,2021,19,9,17.91,2.62,5.74,0,1,498375,65.62,4.17,4.64,0,18630,1,56.84,3818,6.53,44908,0.82,31.9
6,2023,12,6,10.32,9.78,7.01,0,1,586996,69.03,3.75,4.28,3,11053,1,91.61,4646,1.48,44900,0.55,32.94
7,2022,15,5,10.54,9.76,1.64,2,2,21463,72.31,1.12,1.38,1,24072,0,66.9,4925,2.4,24864,0.59,20.26
6,2021,4,6,3.92,2.55,2.08,1,1,301137,64.72,4.87,8.04,1,41260,0,55.81,2801,2.36,25781,0.82,40.43
4,2024,11,0,8.17,11.72,7.11,3,2,90033,94.91,3.87,5.39,3,9868,0,96.8,1973,7.36,8876,0.8,62.8
2,2024,13,5,12.215,1.52,4.08,3,0,856036,99,2.03,4.85,2,31892,0,61.69,2868,1.86,17379,0.85,80.31
7,2024,3,9,17.17,6.71,8.72,1,0,79945,71.27,2.12,7.08,1,14347,0,60.61,1036,4.05,50552,0.61,38.68
4,2021,0,5,5.44,4.3,2.83,1,2,235303,89.38,2.22,6.66,2,13889,0,60.94,4897,4.43,16827,0.59,43.8
4,2023,8,1,3.64,9.89,8.96,0,0,175683,62.21,1.14,9.39,1,18782,0,89.45,3420,0.21,43932,0.75,20.73
5,2024,8,2,11.58,11.02,2.81,2,2,35531,85.01,1.03,2.37,2,49327,1,72.33,3128,8.66,34101,0.59,30.19
1,2020,2,10,14.65,12.42,1.05,0,0,206339,84.14,0.56,2.35,2,31170,0,67.4,4055,1.92,47335,0.48,34.83
2,2024,16,2,11.085,5.98,2.58,1,1,356553,62.51,2.28,4.4,1,2440,0,74.54,3460,3.24,47453,0.6,69.93
5,2021,17,1,2.55,12.59,9.03,3,2,201888,85.59,4.09,7.42,2,15982,0,61.73,4157,5.31,60107,0.74,87.07
3,2024,7,10,15.79,8.1,6.5,0,0,333870,51.53,4.39,8.71,0,3353,1,71.48,526,2.76,83919,0.56,72.5
7,2024,15,1,3.31,5.14,4.26,0,2,667745,68.03,4.26,7.25,2,27190.83333,0,97.31,4381,5.37,63117,0.78,20.37
7,2023,16,3,4.67,0.31,9.89,0,2,552391,86.79,3,3.01,0,48742,0,59.9,4517,8.31,97211,0.46,43.29
4,2023,15,5,1.96,13.88,4.97,1,2,612473,97.39,1.9,4.87,0,33153,1,65.5,359,4.19,15657,0.67,50.03
0,2022,16,5,2.55,14.69,9.68,3,1,989318,70.73,4.12,2.32,2,7417,1,56.06,3055,3.45,10081,0.54,88.25
0,2020,3,7,2.35,2.78,8.23,1,2,951959,94.25,3.97,5.76,0,20881,1,92.52,653,0.03,99409,0.67,59.29
3,2021,17,10,8.55,10.39,1.32,1,0,687362,56.52,1.67,3.5,0,1388,1,89.74,3479,4.41,83823,0.5,57.15
7,2022,3,1,19.48,8.97,9.42,2,0,87945,60.39,4.11,8.52,1,23155,0,88.36,1104,4.16,97110,0.75,55.65
2,2020,18,2,10.43,2.66,5.34,1,2,766270,76.66,2.17,9.12,1,26089,0,85.02,4734,1.32,45411,0.4,59.35
0,2020,6,8,15.88,6.25,3.92,1,0,7600,92.88,4.43,4.64,0,26794,0,84.36,4424,3.71,44959,0.7,55.76
5,2020,16,3,6.74,12.66,9.1,2,2,479573,83.62,2.08,8.22,3,48734,0,81.24,810,6.92,61490,0.63,59.05
0,2023,11,5,19.89,6.08,5.84,3,2,1463,61.2,2.84,8.1,0,10502,1,93.59,4801,8.05,72399,0.87,66.81
5,2024,19,10,2.13,3.36,5.28,3,2,430008,50.3,2.606929825,6.1,1,807,1,57.62,4046,8.92,72348,0.65,52.63
1,2024,15,3,11.61,1.36,2.54,3,1,610860,64.56,3,6,2,47032,1,75.75,212,9.31,33174,0.41,84.38
3,2021,5,8,6.76,6.24,0.28,1,2,235000,85.85,3.2,7.99,1,13871,0,72.88,3665,2.69,64535,0.7,76.09
1,2023,19,1,10.11,1.31,3.2,2,0,209193,84.56,2.16,4.78,3,45011,0,81.66,4616,1.92,22540,0.76,76.34
3,2020,5,5,16.4,10.71,6.52,1,1,35400,65.96,1.22,7.51,2,45823,0,85.96,4110,8.06,32353,0.87,89.11
1,2021,8,8,13.7,12.98,9.89,3,1,28726,81.89,4.54,1.38,2,6589,0,57.18,1554,7.89,34275,0.66,50.56
2,2021,12,1,4.89,10.16,4.56,3,0,793845,72.7,4.77,1.17,1,35104,1,94.95,1595,7,56293,0.52,55.38
3,2020,3,5,11.59,13.22,0.63,1,0,894190,60.74,2.1,4.97,2,18440,1,88.55,3464,8.81,78029,0.56,29.08
2,2023,18,4,7.11,2.46,9.39,2,2,337569,59.24,1.97,8.35,1,14295,1,51.25,1949,2.4,98748,0.87,79.56
0,2021,7,10,9.28,12.34,1.37,1,1,335606,69.44,4.23,4.02,1,21188,0,73.32,2224,2.21,63584,0.46,76.15
7,2020,18,8,3.99,14.53,1.62,1,1,342382,58.73,3.11,8.56,1,47940,1,77.8,4303,2.93,72382,0.55,86.9
