"country","disease_name","disease_category","age_group","gender","treatment_type","availability_of_vaccines_treatment","year","prevalence_rate","incidence_rate","mortality_rate","population_affected","healthcare_access","doctors_per_1000","hospital_beds_per_1000","average_treatment_cost_usd","recovery_rate","dal_ys","improvement_in_5_years","per_capita_income_usd","education_index","urbanization_rate"
"USA","Parkinson's Disease","Autoimmune","Young Adult","Male","Therapy","Yes",2024,17.57,3.98,8.86,460860,59.35,0.75,4.02,28520,82.53,3986,2,70988,0.7,54.33
"Nigeria","Polio","Chronic","Young Adult","Male","Vaccination","Yes",2021,17.66,11.24,2.86,116056,80.74,3.01,2.98,40434,90.4,1429,4.74,42426,0.46,48.64
"China","Hypertension","Chronic","Adult","Other","Medication","No",2023,11.25,12.82,0.35,995384,61.09,3.86,6.67,21075,70.72,871,8.03,7044,0.56,31.65
"China","Zika","Chronic","Adult","Male","Surgery","No",2021,13.14,12.07,9.93,129905,94.56,3.17,0.73,39896,61.61,3608,0.69,76196,0.87,87.36
"USA","Cholera","Cardiovascular","Child","Other","Therapy","Yes",2020,12.93,13.03,3.95,199508,99.78,4.57,9.54,41523.83,89.78,4777,5.75,81792,0.71,74.86
"China","Malaria","Viral","Young Adult","Other","Vaccination","Yes",2022,9.74,1.39,0.77,689936,66.78,1.97,2.89,6629,80.49,620,3.72,33508,0.74,29.99
"USA","Hepatitis","Viral","Young Adult","Other","Medication","Yes",2022,2.48,5.58,8.42,409368,88.75,1.75,7.02,1743,64.67,1576,7.65,71996,0.46,47.58
"India","Hypertension","Viral","Adult","Other","Medication","Yes",2020,14.92,10.22,6.12,728746,70.76,2,5.41,6144,69,2178,8.15,31034,0.48,54.35
"Nigeria","Asthma","Genetic","Young Adult","Other","Therapy","Yes",2023,3.36,12.82,0.48,374561,86.65,1.72,1.09,38606,98.16,4545,0.06,55462,0.6,38.59
"Nigeria","Dengue","Parasitic","Senior","Female","Surgery","Yes",2024,17.69,12.87,7.22,905256,54.71,0.84,6.49,46065,76.47,4829,2.98,43649,0.63,88.07
"Nigeria","Hypertension","Metabolic","Adult","Male","Medication","No",2020,14.6,10.56,0.78,496683,62.76,0.92,3.55,19240,56.1,1948,5.65,26607,0.69,80.23
"China","Leprosy","Cardiovascular","Young Adult","Other","Therapy","No",2021,13.34,8.95,0.82,861627,75.05,4.46,3.21,3342,62.23,4329,2.65,72836,0.54,72.76
"Argentina","Diabetes","Metabolic","Senior","Other","Surgery","Yes",2021,11.72,7.44,6.79,424707,80.29,2.66,9.65,30934,70.18,4872,8.9,10860,0.43,66.8
"South Africa","Alzheimer's Disease","Respiratory","Child","Female","Surgery","Yes",2022,6.47,6.27,0.14,356844,79.86,4.57,6.1,10826,50.89,1037,6.59,65667,0.84,45.52
"China","Measles","Metabolic","Child","Male","Surgery","Yes",2020,17.54,10.25,2.12,314471,53,1.69,6.26,274,72.38,806,3.39,21391,0.88,46.28
"UK","Dengue","Viral","Senior","Female","Therapy","Yes",2024,17.9,10.53,7.43,548372,85.1,2.68,7.17,3020,56.27,3610,5.48,77811,0.61,41.43
"Argentina","Alzheimer's Disease","Cardiovascular","Adult","Female","Vaccination","Yes",2024,18.46,7.76,1.79,633456,94.09,1.95,8.95,30769,80.77,1960,7.33,55217,0.71,54.61
"UK","Dengue","Neurological","Adult","Other","Surgery","Yes",2023,2.84,7.76,5.7,822476,91.33,2.32,9.64,1,51.68,2088,8.51,59618,0.84,85.16
"Argentina","Tuberculosis","Infectious","Young Adult","Other","Therapy","Yes",2021,6.96,7.79,3.27,42377,65.58,2.53,5.65,22013,91.72,4182,8.01,21520,0.43,28.99
"Argentina","Measles","Respiratory","Young Adult","Female","Vaccination","Yes",2020,9.29,4.83,5.31,112547,55.25,3.77,4.91,38832,72.86,1196,3.49,56276,0.9,64.36
"India","Ebola","Cardiovascular","Senior","Other","Therapy","No",2021,18.86,3.9,3.4,125980,64.44,2.09,7.18,36883,95.33,2978,6.87,75147,0.79,24.55
"USA","Dengue","Parasitic","Adult","Female","Therapy","Yes",2022,15.04,7.28,4.15,418006,97.42,4.55,9.21,22221,63.6,4429,3.5,85582,0.48,85.78
"Nigeria","Ebola","Metabolic","Senior","Male","Medication","No",2022,1.84,0.24,9.44,869632,55.85,1.55,7.37,47418,53.33,2918,6.12,50910,0.77,68.71
"South Africa","Cancer","Viral","Young Adult","Male","Therapy","Yes",2021,10.52,2.2,4.57,469627,94.03,2.58,1.38,47720,81.54,1618,4.27,87499,0.59,64.44
"Russia","Malaria","Cardiovascular","Adult","Other","Surgery","Yes",2023,3.79,7.98,7.88,802731,73.49,1.38,5.62,31824,55.43,1141,5.37,22473,0.55,56.96
"USA","Ebola","Infectious","Child","Female","Therapy","No",2023,19.51,12.57,3.79,681544,81.31,2.18,2.95,19439,78.65,159,8.24,32839,0.82,61.77
"Argentina","Dengue","Neurological","Adult","Male","Surgery","Yes",2023,0.28,14.22,1.52,748083,72.87,3.24,5.52,NA,72.92,2403,3.51,82778,0.62,32.23
"China","Cancer","Respiratory","Adult","Male","Vaccination","No",2024,16.19,7.47,0.13,738456,64.58,3.3,1.27,44951,76.74,773,1.2,38506,0.86,66.36
"UK","Asthma","Chronic","Child","Other","Medication","No",2024,17.57,5.64,9.68,773830,82.54,2.54,0.77,36006,58.11,1824,3.84,37353,0.78,87.74
"UK","HIV/AIDS","Cardiovascular","Senior","Male","Medication","Yes",2021,13.51,7.28,7.58,573723,51.19,3.12,4.29,43567,80.58,2225,4.97,13277,0.47,63.46
"China","Zika","Infectious","Child","Male","Therapy","Yes",2023,3.39,10.74,1.71,112912,86.87,4.11,6.45,33955,56.37,4627,5.3,8400,0.83,55.85
"USA","Malaria","Autoimmune","Adult","Female","Vaccination","Yes",2022,3.34,0.23,9.46,83079,57.03,1.14,4.71,43821,57.31,71,7.39,97766,0.83,43.54
"Argentina","Ebola","Viral","Senior","Other","Vaccination","No",2021,6.81,13.15,0.93,186889,55.51,2.26,1.12,46835,65.56,2765,8.4,49733,0.52,38.86
"Nigeria","Cholera","Metabolic","Child","Female","Surgery","Yes",2020,13.01,13.68,4.58,344451,62.14,2.33,5.36,29022.44,94.07,1365,7.45,56364,0.69,52.51
"UK","Rabies","Cardiovascular","Young Adult","Male","Vaccination","Yes",2024,12.89,12.16,7.41,143659,52.94,4.75,9.21,35135,90.22,825,9.64,996,0.84,56.85
"China","Ebola","Metabolic","Senior","Male","Medication","Yes",2021,12.88,11.3,4.32,518788,70.11,1.99,5.89,37276,96.39,4199,0.91,90528,0.8,27.9
"Russia","Tuberculosis","Respiratory","Senior","Other","Medication","No",2024,11.93,7.19,9.65,276380,81.64,4.63,3.79,32275,77.57,3231,8.6,6467,0.85,81
"South Africa","Tuberculosis","Chronic","Adult","Female","Therapy","Yes",2024,12.23,1.09,0.76,145488,58.31,2.61,2.39,32755,78.08,2223,3.44,84406,0.42,81.69
"China","Diabetes","Genetic","Senior","Other","Vaccination","Yes",2021,16.79,4.63,5.15,47207,58.74,2.4,7.62,38325,82.53,1854,9.41,76415,0.7,45.35
"UK","Influenza","Autoimmune","Child","Male","Therapy","No",2023,0.84,1.96,4.94,266197,67.21,2.55,9.91,13900,95.35,22,5.58,45457,0.55,75
"UK","Influenza","Neurological","Child","Female","Therapy","Yes",2024,10.27,2.98,6.66,450631,93.95,3.37,1.43,34674,59.94,706,3.39,46693,0.88,30.92
"UK","Diabetes","Parasitic","Young Adult","Female","Medication","Yes",2022,5.67,5.88,9.93,534605,99.55,0.85,2.51,23636,77.52,1879,0.53,41535,0.67,51.92
"Argentina","Ebola","Viral","Senior","Female","Medication","Yes",2022,9.23,0.66,2.93,588002,55.14,2.98,7.59,14848,79.31,551,9.94,75882,0.89,27.6
"Russia","Dengue","Autoimmune","Senior","Other","Vaccination","No",2023,8.02,11.66,0.58,6285,98.8,1.27,5.34,30813,72.45,4120,4.24,75844,0.68,56.96
"India","Hypertension","Bacterial","Senior","Male","Therapy","No",2021,9.4,9.29,0.83,522052,88.36,1.56,3.67,36071,57.96,1294,4.84,37901,0.5,89.86
"UK","Tuberculosis","Infectious","Child","Female","Medication","No",2021,6.27,9.35,0.2,139335,66.81,4.83,8.98,37529,83.35,3461,0.43,89669,0.52,45.32
"Nigeria","Dengue","Metabolic","Senior","Female","Therapy","No",2022,15.43,2.36,0.16,248606,88.49,4.1,7.78,3245,54.06,4224,8.72,23992,0.89,67.41
"South Africa","HIV/AIDS","Respiratory","Senior","Male","Vaccination","Yes",2024,1.3,10.24,9.66,708358,84.89,4.85,0.94,17224,63.1,4045,1.53,9656,0.4,30.56
"South Africa","Diabetes","Neurological","Senior","Male","Surgery","No",2024,19.97,7.75,2.84,443675,81.76,4.66,0.62,48403,71.12,3477,6.09,13167,0.76,53.61
"Argentina","Zika","Viral","Adult","Other","Therapy","Yes",2023,7.58,10.12,4.62,976447,74.14,3.76,8.2,20796,68.04,2712,7.95,80271,0.7,83.03
"India","Leprosy","Genetic","Senior","Male","Vaccination","No",2021,10.41,9.67,1.17,269949,91.91,2.05,7.74,23359,58.84,1903,7.52,35077,0.46,69.17
"Russia","COVID-19","Metabolic","Adult","Female","Medication","No",2021,0.31,3.1,5.36,197150,65.73,3.14,5.4,34226,51.96,1898,2.08,74384,0.57,29.43
"UK","Dengue","Viral","Young Adult","Female","Vaccination","Yes",2020,8.14,4.66,5.01,123284,66.14,2.11,2.05,19355,60.72,1248,7.5,64825,0.45,38.37
"UK","Diabetes","Cardiovascular","Child","Female","Surgery","No",2022,19.68,7.24,4.82,693785,52.81,1.23,2.81,1515,84.51,683,0.72,98739,0.53,41.14
"UK","Ebola","Autoimmune","Adult","Female","Therapy","No",2023,3.89,0.32,0.78,792770,99.87,2.39,1.5,17523,88.07,3159,0.33,59900,NA,34.97
"India","Diabetes","Genetic","Young Adult","Male","Therapy","Yes",2023,1.18,9.73,4.78,321543,57.81,1.96,2.5,29367,68.45,3595,2.96,74106,0.43,22.23
"USA","Hypertension","Infectious","Senior","Male","Medication","No",2024,19.96,8.52,3.77,686688,55.48,2.04,7.42,41916,92.29,1755,0.76,40290,0.87,72.38
"China","Diabetes","Genetic","Senior","Female","Medication","No",2020,0.52,12.19,9.92,802603,61.75,3.7,3.53,13185,92.25,4246,1.44,73330,0.57,80.91
"UK","Tuberculosis","Chronic","Senior","Other","Surgery","No",2023,10.21,1.42,8.45,45587,67.42,4.61,4.64,11953,66.5,2313,0.92,17076,0.42,73.45
"Russia","Diabetes","Viral","Adult","Other","Medication","No",2024,12.73,10.81,0.65,913505,99.44,3.96,8.62,6209,72.3,4888,3.16,32981,0.6,27.7
"South Africa","Influenza","Parasitic","Senior","Other","Therapy","No",2020,6.44,0.82,3.8,359710,95.67,3.31,4.74,4523,96.76,58,8.95,84380,0.66,40.06
"USA","Measles","Metabolic","Adult","Female","Vaccination","Yes",2023,6.77,9.62,1.84,655749,99.07,1.67,5.43,13161,95.27,3482,1.87,53182,0.64,50.62
"Nigeria","HIV/AIDS","Chronic","Senior","Male","Vaccination","Yes",2022,8.85,5.19,9.09,657056,87.31,3.28,5.02,33874,65.5,645,6.54,86724,0.51,30.52
"India","Parkinson's Disease","Bacterial","Adult","Other","Medication","Yes",2021,13.93,4.81,2.96,960807,81.4,3.16,3.34,31224,95.98,4619,3.2,55255,0.57,72.55
"Russia","Zika","Neurological","Adult","Female","Surgery","Yes",2024,11.6,1.58,0.6,994290,52.59,4.77,6.98,28707,87.65,2867,5.9,8016,0.73,60.44
"Argentina","Malaria","Viral","Young Adult","Female","Medication","No",2022,11.74,12.58,9.74,811285,92.63,0.57,3.94,11953,82.28,3554,8.76,74395,0.48,36.3
"Nigeria","Influenza","Bacterial","Young Adult","Other","Therapy","Yes",2021,18.59,5.06,6.19,941818,87.55,4.95,1.71,40207,64.55,1632,3.83,72334,0.67,43.03
"USA","Cholera","Parasitic","Senior","Other","Surgery","Yes",2021,11.66,6.75,1.48,209532,56.73,4.74,5.24,17311,61.91,1707,0.01,15081,0.41,54.91
"Nigeria","Alzheimer's Disease","Metabolic","Young Adult","Male","Vaccination","Yes",2024,7.48,14.93,1.32,199162,95.11,1.73,5.96,19232,70.1,1577,3.2,21345,0.83,85.19
"USA","Zika","Cardiovascular","Adult","Male","Vaccination","Yes",2024,8.21,14.1,4.47,580738,95.33,3.43,1.84,18934,74.35,4277,0.85,24545,0.67,53.89
"USA","Rabies","Viral","Young Adult","Other","Surgery","No",2024,18.61,12.64,6.92,506991,70.38,0.59,7.44,18831,67.98,3466,6.24,69202,0.5,66.75
"Argentina","Cancer","Chronic","Child","Male","Surgery","No",2023,9.9,6.66,2.79,247307,76.49,3.02,9.64,18456,91.48,529,6.35,99886,0.66,74.92
"Nigeria","HIV/AIDS","Genetic","Child","Other","Medication","Yes",2020,19.18,7.38,1.75,356621,51.87,4.61,4.36,31538,70.29,4674,8.02,955,0.87,37.38
"China","Diabetes","Viral","Young Adult","Female","Surgery","No",2022,17.86,9.74,6.19,205935,51.33,4.3,0.9,25035,97.31,3001,3.34,14448,0.86,59.9
"UK","Cancer","Neurological","Child","Male","Vaccination","No",2021,2.7,2.28,8.83,854621,54.9,2.26,1.53,36713,62.83,2602,2.26,51158,0.42,72.22
"Argentina","Parkinson's Disease","Bacterial","Adult","Other","Medication","No",2021,3.59,3.4,4.84,725203,74.76,2.97,9.59,43217,93.19,2145,6.01,84877,0.55,86.21
"USA","HIV/AIDS","Metabolic","Adult","Other","Surgery","No",2023,18.28,3.41,1.54,51121,94.91,4.08,8.97,28015,82.21,4975,7.23,21736,0.74,64.59
"Argentina","Dengue","Infectious","Adult","Male","Medication","No",2020,13.01,3.42,0.3,163991,74.14,2.83,1.35,17487,51.56,532,7.93,47224,0.88,24.3
"USA","Ebola","Parasitic","Young Adult","Male","Medication","Yes",2024,17.32,12.11,7.75,200937,54.12,2.79,7.49,7072,62.4,2617,5.74,68769,0.63,35.6
"USA","Alzheimer's Disease","Autoimmune","Senior","Female","Medication","No",2023,2.16,7.25,8.82,970320,89.36,0.55,0.6,36232,85.23,2254,6.69,39556,0.55,28.58
"China","Asthma","Neurological","Senior","Female","Medication","No",2022,7.01,13.6,1.09,399219,76.78,3.01,7.51,12349,54.33,4465,4.6,85547,0.48,58.98
"USA","Zika","Parasitic","Adult","Male","Therapy","Yes",2024,17.67,13.69,3.63,704864,95.76,3.46,5.39,16117,93.53,2958,0.56,29779,0.68,49.65
"China","Dengue","Neurological","Child","Male","Medication","Yes",2022,4.65,4.6,4.19,872513,84.22,3.08,0.82,34315,69.58,3125,7.89,42252,0.59,22.7
"Argentina","Asthma","Viral","Child","Other","Medication","No",2022,17.33,2.15,4.86,42362,68.27,3.19,3.28,37128,73.59,1877,1.25,31121,0.48,45.86
"Argentina","Influenza","Chronic","Adult","Other","Therapy","No",2023,10.77,9.14,3.97,522554,62.68,3.78,6,4471,56.72,4120,1.24,45497,0.69,34.71
"South Africa","Diabetes","Bacterial","Senior","Male","Medication","Yes",2022,15,9.41,7.27,234391,52.73,3.47,4.83,42670,50.93,1052,5.05,4489,0.43,61.32
