Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
South Africa,2020,Malaria,Respiratory,14.0,0.66,9.92,36-60,Other,746581,57.43,0.87,5.3,Therapy,32683.0,No,51.83,3004,0.01,60280.0,0.87,30.79
South Africa,2020,Zika,Autoimmune,3.57,10.49,3.47,36-60,Female,722364,75.68,3.53,6.97,Vaccination,30301.0,No,62.05,3418,1.74,42798.0,0.73,76.23
Argentina,2020,Leprosy,Neurological,14.37,11.11,9.86,36-60,Female,499092,87.23,1.72,4.32,Therapy,27295.0,No,94.52,3890,1.65,94526.0,0.85,50.09
UK,2024,Zika,Chronic,13.27,2.19,6.14,61+,Male,193585,67.27,0.79,6.32,Medication,26798.0,Yes,71.77,3714,0.7,6090.0,0.7,70.41
China,2021,Asthma,Respiratory,18.55,9.0,1.91,61+,Male,468485,54.4,0.88,0.51,Vaccination,27903.0,Yes,77.46,4653,0.11,59338.0,0.62,70.46
Nigeria,2024,Hypertension,Cardiovascular,15.65,3.06,6.34,61+,Male,767194,96.15,3.37,2.18,Vaccination,772.0,Yes,87.51,2879,4.34,14594.0,0.84,52.5
Russia,2023,Malaria,Genetic,1.84,9.47,4.43,19-35,Other,288244,84.57,2.71,7.59,Therapy,30534.0,No,89.47,1374,5.06,84934.0,0.76,27.42
Russia,2020,Malaria,Bacterial,0.13,,4.81,61+,Male,564578,82.36,2.58,4.74,Vaccination,17687.0,No,55.17,2563,4.34,67371.0,0.73,52.72
India,2022,Zika,Bacterial,19.12,3.97,6.79,0-18,Male,758767,61.1,1.05,2.97,Medication,25673.0,No,68.96,1011,0.31,81624.0,0.62,78.59
Argentina,2022,COVID-19,Metabolic,4.12,5.1,2.2,61+,Other,386498,77.05,4.78,4.8,Surgery,23164.0,Yes,85.86,367,8.52,69215.0,0.81,30.13
India,2020,Hypertension,Neurological,14.58,13.46,0.46,61+,Other,708431,78.93,2.04,2.0,Therapy,10173.0,No,67.66,351,3.76,33268.0,0.79,81.46
Argentina,2024,Polio,Infectious,12.09,4.18,9.25,19-35,Other,92242,56.36,2.97,5.96,Medication,252280.8764863828,Yes,72.28,3624,4.43,53825.0,0.67,83.44
Russia,2022,Cholera,Parasitic,8.57,2.15,1.94,0-18,Female,354473,77.08,3.17,9.47,Medication,6082.0,No,81.44,1982,6.02,94505.0,0.54,43.08
Nigeria,2021,Zika,Infectious,14.36,9.72,,19-35,Female,119285,56.75,0.59,2.2,Vaccination,40071.0,No,76.52,1569,6.23,36512.0,0.42,29.61
UK,2024,Dengue,Chronic,7.18,14.24,1.22,19-35,Male,93813,55.56,3.24,8.48,Surgery,12458.0,Yes,79.13,2045,2.32,67806.0,0.44,47.92
UK,2024,Cholera,Metabolic,,0.5,4.19,19-35,Other,450084,63.27,3.27,7.76,Surgery,47475.0,Yes,57.69,80,2.35,67247.0,0.76,88.05
India,2020,HIV/AIDS,Autoimmune,6.12,13.4,0.76,61+,Other,277713,74.01,3.94,7.28,Medication,12605.0,Yes,67.09,4935,6.32,66429.0,0.77,59.17
UK,2022,Measles,Chronic,9.26,7.61,0.74,61+,Other,612702,97.44,0.74,7.22,Vaccination,3720.0,No,89.76,3599,0.93,25198.0,0.43,43.22
India,2020,Leprosy,Bacterial,1.06,7.19,4.96,61+,Female,200896,52.97,4.05,4.18,Surgery,38177.0,No,90.44,101,9.2,24292.0,0.6,88.27
Nigeria,2023,Tuberculosis,Infectious,9.36,2.12,6.03,0-18,Other,173811,62.59,2.47,7.34,Medication,15413.0,No,75.97,3486,4.68,48589.0,0.52,55.41
Nigeria,2021,Diabetes,Metabolic,0.24,8.22,4.11,0-18,Male,411283,95.49,3.27,2.17,Surgery,2652.0,No,73.52,3212,6.5,15228.0,0.75,89.91
South Africa,2020,Rabies,Viral,3.66,3.14,7.54,61+,Female,180341,80.17,2.93,,Medication,36932.0,Yes,93.97,98,7.74,67499.0,0.68,33.52
South Africa,2020,Malaria,Bacterial,18.92,4.64,7.74,36-60,Female,355637,73.53,4.1,5.71,Therapy,35018.0,No,56.85,2900,6.62,74852.0,0.66,32.77
India,2024,COVID-19,Cardiovascular,,9.09,6.31,36-60,Female,301213,58.56,0.89,7.17,Surgery,20743.0,Yes,97.73,2763,2.38,56901.0,0.58,63.87
UK,2023,Cholera,Genetic,4.63,1.3,3.28,36-60,Female,339997,82.0,4.27,7.34,Surgery,20708.0,No,62.3,621,2.94,95695.0,0.68,78.81
Nigeria,2023,Malaria,Neurological,17.11,11.92,8.24,19-35,Other,701501,55.01,1.3,6.34,Vaccination,30625.0,No,66.22,818,2.64,10974.0,0.81,44.04
USA,2023,Alzheimer's Disease,Metabolic,12.52,4.61,2.69,0-18,Female,661800,,2.01,3.85,Vaccination,28319.0,No,52.8,1753,5.91,88647.0,0.62,48.62
South Africa,2022,Ebola,Infectious,0.22,0.26,5.56,61+,Male,44143,90.02,3.9,2.95,Surgery,43167.0,No,88.7,797,3.67,69631.0,0.61,80.6
India,2021,Cholera,Parasitic,13.92,13.63,7.37,19-35,Other,530927,88.83,2.16,0.5,Vaccination,247.0,Yes,96.0,3175,5.79,8815.0,0.47,74.39
South Africa,2021,Malaria,Viral,9.05,9.29,1.26,19-35,Female,670951,89.58,2.84,5.37,Therapy,23247.0,No,66.77,57,1.81,10292.0,0.46,34.66
Nigeria,2022,Diabetes,Genetic,8.0,6.52,7.87,36-60,Other,292569,72.58,3.18,6.61,Surgery,21512.0,No,57.1,4554,3.61,70555.0,0.73,43.31
South Africa,2020,Leprosy,Metabolic,3.3,12.48,2.51,36-60,Other,689872,66.88,1.22,1.8,Therapy,38215.0,No,55.61,512,8.81,8076.0,0.87,45.45
Russia,2020,Measles,Genetic,10.21,10.39,5.63,61+,Female,446014,93.62,1.94,0.52,Vaccination,19962.0,No,98.54,1243,0.38,21781.0,0.41,64.51
India,2024,Diabetes,Cardiovascular,5.41,10.45,0.38,0-18,Female,580470,92.18,4.81,3.09,Vaccination,22983.0,No,79.16,2680,2.96,25381.0,0.61,79.34
China,2022,Dengue,Respiratory,9.18,9.26,8.62,0-18,Male,44807,89.23,1.86,6.86,Therapy,,No,92.97,2119,8.31,71447.0,0.66,31.89
Russia,2024,Hepatitis,,14.13,14.24,7.4,0-18,Other,609851,73.07,4.46,1.35,Surgery,21042.0,Yes,74.9,1632,0.29,90276.0,0.73,39.98
Russia,2024,Dengue,Cardiovascular,9.2,9.38,8.71,0-18,Male,796650,94.87,4.46,6.46,Therapy,44403.0,Yes,50.81,3974,0.3,52516.0,0.64,45.87
UK,2024,Zika,Respiratory,16.7,,2.34,19-35,Female,94533,95.94,3.91,3.22,Therapy,12859.0,No,60.33,1987,3.66,17999.0,0.58,66.76
India,2023,Cancer,Respiratory,10.32,1.64,3.13,19-35,Female,560895,92.52,2.24,4.52,Vaccination,24282.0,Yes,66.2,2669,8.63,60657.0,0.48,33.37
Nigeria,2024,Polio,Infectious,13.57,14.03,1.31,19-35,Male,234446,73.33,2.38,4.54,Surgery,3764.0,No,64.46,749,8.86,71096.0,0.68,59.82
South Africa,2020,Measles,Cardiovascular,17.19,6.98,3.37,0-18,Other,531674,87.6,1.99,6.72,Surgery,26404.0,No,70.43,1367,9.57,50281.0,0.75,84.13
UK,2023,Leprosy,Viral,6.07,2.0,9.6,0-18,Other,267830,77.74,1.65,6.88,Vaccination,30051.0,No,73.73,1401,6.23,93125.0,0.49,62.32
Argentina,2020,Measles,Viral,14.96,11.37,7.96,0-18,Male,722731,83.63,3.06,4.52,Vaccination,4100.0,No,64.0,251,8.99,45204.0,0.61,75.78
UK,2023,Alzheimer's Disease,Respiratory,14.27,11.95,7.75,19-35,Female,36663,69.39,2.29,2.5,Medication,8324.0,Yes,92.9,117,6.77,75111.0,0.89,32.9
South Africa,2024,Ebola,Parasitic,16.6,0.55,5.84,19-35,Other,623998,87.39,1.83,2.61,Surgery,34062.0,No,90.36,4768,4.14,60149.0,0.69,31.53
UK,2023,Parkinson's Disease,Bacterial,4.77,2.94,5.92,0-18,Other,447727,96.36,4.13,7.23,Therapy,31647.0,No,69.73,1742,3.96,91290.0,0.68,68.78
Nigeria,2020,Influenza,Infectious,4.93,11.87,3.34,19-35,Male,287384,72.59,2.51,9.06,Therapy,41648.0,No,71.58,1837,6.66,74960.0,0.44,69.4
India,2024,Hypertension,Neurological,17.05,11.69,2.19,19-35,Female,434403,93.31,3.84,3.57,Medication,25856.0,Yes,66.21,2416,6.59,40182.0,0.52,37.33
Russia,2023,Leprosy,Neurological,15.42,4.86,3.37,36-60,Other,635244,96.93,3.16,5.57,Therapy,28257.0,No,75.23,2940,7.08,49867.0,0.59,38.99
USA,2022,Zika,Autoimmune,9.25,8.45,9.34,19-35,Other,114491,76.14,2.06,1.73,Vaccination,23009.0,Yes,73.42,4514,6.03,50753.0,0.41,38.45
South Africa,2021,Polio,Metabolic,12.1,12.44,6.32,61+,Other,733645,77.58,2.01,5.17,Therapy,49993.0,No,95.82,2450,8.27,15190.0,0.63,50.45
South Africa,2022,Alzheimer's Disease,Viral,2.26,6.86,4.6,36-60,Other,962979,62.39,2.46,1.1,Surgery,48894.0,Yes,73.37,1837,2.4,51244.0,0.53,22.14
UK,2021,Polio,Parasitic,0.99,11.8,3.69,0-18,Female,281861,90.89,2.21,9.68,Therapy,32109.0,No,84.51,4120,2.45,68181.0,0.56,75.25
Russia,2020,COVID-19,Neurological,4.06,0.97,4.66,0-18,Male,818713,52.05,3.61,7.85,Vaccination,9918.0,No,57.55,3041,3.99,87273.0,0.49,49.6
USA,2021,Zika,Infectious,0.73,5.4,0.54,19-35,Male,297468,77.33,3.83,8.51,Therapy,8917.0,Yes,78.11,4714,9.58,98565.0,0.59,84.95
Russia,2022,Influenza,Parasitic,5.98,11.22,0.15,0-18,Other,504203,81.26,4.8,7.41,Medication,30783.0,Yes,73.61,429,5.79,8916.0,0.62,55.95
UK,2023,Tuberculosis,Chronic,18.37,2.18,7.08,0-18,Other,676411,63.84,2.8,3.76,Surgery,30302.0,Yes,50.28,2329,8.14,12939.0,0.45,79.8
South Africa,2021,COVID-19,Neurological,3.1,3.19,3.83,61+,Other,573275,97.22,2.58,1.17,Therapy,25467.0,Yes,95.42,4646,6.73,92854.0,0.9,72.87
USA,2024,Parkinson's Disease,Autoimmune,17.57,3.98,8.86,19-35,Male,460860,59.35,0.75,4.02,Therapy,28520.0,Yes,82.53,3986,2.0,70988.0,0.7,54.33
Nigeria,2021,Polio,Chronic,17.66,11.24,2.86,19-35,Male,116056,80.74,3.01,2.98,Vaccination,40434.0,Yes,90.4,1429,4.74,42426.0,0.46,48.64
China,2023,Hypertension,Chronic,11.25,12.82,0.35,36-60,Other,995384,61.09,3.86,6.67,Medication,21075.0,No,70.72,871,8.03,7044.0,0.56,31.65
China,2021,Zika,Chronic,13.14,12.07,9.93,36-60,Male,129905,94.56,3.17,0.73,Surgery,39896.0,No,61.61,3608,0.69,76196.0,0.87,87.36
USA,2020,Cholera,Cardiovascular,12.93,13.03,3.95,0-18,Other,199508,99.78,4.57,9.54,Therapy,,Yes,89.78,4777,5.75,81792.0,0.71,74.86
China,2022,Malaria,Viral,9.74,1.39,0.77,19-35,Other,689936,66.78,1.97,2.89,Vaccination,6629.0,Yes,80.49,620,3.72,33508.0,0.74,29.99
USA,2022,Hepatitis,Viral,2.48,5.58,8.42,19-35,Other,409368,88.75,1.75,7.02,Medication,1743.0,Yes,64.67,1576,7.65,71996.0,0.46,47.58
India,2020,Hypertension,Viral,14.92,10.22,6.12,36-60,Other,728746,70.76,2.0,5.41,Medication,6144.0,Yes,69.0,2178,8.15,31034.0,0.48,54.35
Nigeria,2023,Asthma,Genetic,3.36,12.82,0.48,19-35,Other,374561,86.65,1.72,1.09,Therapy,38606.0,Yes,98.16,4545,0.06,55462.0,0.6,38.59
Nigeria,2024,Dengue,Parasitic,17.69,12.87,7.22,61+,Female,905256,54.71,0.84,6.49,Surgery,46065.0,Yes,76.47,4829,2.98,43649.0,0.63,88.07
Nigeria,2020,Hypertension,Metabolic,14.6,10.56,0.78,36-60,Male,496683,62.76,0.92,3.55,Medication,19240.0,No,56.1,1948,5.65,26607.0,0.69,80.23
China,2021,Leprosy,Cardiovascular,13.34,8.95,0.82,19-35,Other,861627,,4.46,3.21,Therapy,3342.0,No,62.23,4329,2.65,72836.0,0.54,72.76
Argentina,2021,Diabetes,Metabolic,11.72,7.44,6.79,61+,Other,424707,80.29,2.66,9.65,Surgery,30934.0,Yes,70.18,4872,8.9,10860.0,0.43,66.8
South Africa,2022,Alzheimer's Disease,Respiratory,6.47,6.27,0.14,0-18,Female,356844,79.86,4.57,6.1,Surgery,10826.0,Yes,50.89,1037,6.59,65667.0,0.84,45.52
China,2020,Measles,Metabolic,17.54,10.25,2.12,0-18,Male,314471,53.0,1.69,6.26,Surgery,274.0,Yes,72.38,806,3.39,21391.0,0.88,46.28
UK,2024,Dengue,Viral,17.9,10.53,7.43,61+,Female,548372,85.1,2.68,7.17,Therapy,3020.0,Yes,56.27,3610,5.48,77811.0,0.61,41.43
Argentina,2024,Alzheimer's Disease,Cardiovascular,18.46,7.76,1.79,36-60,Female,633456,94.09,1.95,8.95,Vaccination,30769.0,Yes,80.77,1960,7.33,55217.0,0.71,54.61
UK,2023,Dengue,Neurological,2.84,7.76,5.7,36-60,Other,822476,91.33,2.32,9.64,Surgery,1.0,Yes,51.68,2088,8.51,59618.0,0.84,85.16
Argentina,2021,Tuberculosis,,6.96,7.79,3.27,19-35,Other,42377,65.58,2.53,5.65,Therapy,22013.0,Yes,91.72,4182,8.01,21520.0,0.43,28.99
Argentina,2020,Measles,Respiratory,,4.83,5.31,19-35,Female,112547,55.25,3.77,4.91,Vaccination,38832.0,Yes,72.86,1196,3.49,56276.0,0.9,64.36
India,2021,Ebola,Cardiovascular,18.86,3.9,3.4,61+,Other,125980,64.44,2.09,7.18,Therapy,36883.0,No,95.33,2978,6.87,75147.0,0.79,24.55
USA,2022,Dengue,Parasitic,15.04,7.28,4.15,36-60,Female,418006,97.42,4.55,9.21,Therapy,22221.0,Yes,63.6,4429,3.5,85582.0,0.48,85.78
Nigeria,2022,Ebola,Metabolic,1.84,0.24,9.44,61+,Male,869632,55.85,1.55,7.37,Medication,47418.0,No,53.33,2918,6.12,50910.0,0.77,68.71
South Africa,2021,Cancer,Viral,10.52,2.2,4.57,19-35,Male,469627,94.03,2.58,1.38,Therapy,47720.0,Yes,81.54,1618,4.27,87499.0,0.59,64.44
Russia,2023,Malaria,Cardiovascular,3.79,7.98,7.88,36-60,Other,802731,73.49,1.38,5.62,Surgery,31824.0,Yes,55.43,1141,5.37,22473.0,0.55,
USA,2023,Ebola,Infectious,19.51,12.57,3.79,0-18,Female,681544,81.31,2.18,2.95,Therapy,19439.0,No,78.65,159,8.24,32839.0,0.82,61.77
Argentina,2023,Dengue,Neurological,0.28,14.22,1.52,36-60,Male,748083,72.87,3.24,5.52,Surgery,,Yes,72.92,2403,3.51,82778.0,0.62,32.23
China,2024,Cancer,Respiratory,16.19,7.47,0.13,36-60,Male,738456,64.58,3.3,1.27,Vaccination,44951.0,No,76.74,773,1.2,38506.0,0.86,66.36
UK,2024,Asthma,Chronic,17.57,5.64,9.68,0-18,Other,773830,82.54,2.54,0.77,Medication,36006.0,No,58.11,1824,3.84,37353.0,0.78,87.74
UK,2021,HIV/AIDS,Cardiovascular,13.51,7.28,7.58,61+,Male,573723,51.19,3.12,4.29,Medication,43567.0,Yes,80.58,2225,4.97,13277.0,0.47,63.46
China,2023,Zika,Infectious,3.39,10.74,1.71,0-18,Male,112912,86.87,4.11,6.45,Therapy,33955.0,Yes,56.37,4627,5.3,8400.0,0.83,55.85
USA,2022,Malaria,Autoimmune,3.34,0.23,9.46,36-60,Female,83079,57.03,1.14,4.71,Vaccination,43821.0,Yes,57.31,71,7.39,97766.0,0.83,43.54
Argentina,2021,Ebola,Viral,6.81,13.15,0.93,61+,Other,186889,55.51,2.26,1.12,Vaccination,46835.0,No,65.56,2765,8.4,49733.0,0.52,38.86
Nigeria,2020,Cholera,Metabolic,13.01,13.68,4.58,0-18,Female,344451,62.14,2.33,5.36,Surgery,,Yes,94.07,1365,7.45,56364.0,0.69,52.51
UK,2024,Rabies,Cardiovascular,12.89,12.16,7.41,19-35,Male,143659,52.94,4.75,9.21,Vaccination,35135.0,Yes,90.22,825,9.64,996.0,0.84,56.85
China,2021,Ebola,Metabolic,12.88,11.3,4.32,61+,Male,518788,70.11,1.99,5.89,Medication,37276.0,Yes,96.39,4199,0.91,90528.0,0.8,27.9
Russia,2024,Tuberculosis,Respiratory,11.93,7.19,9.65,61+,Other,276380,81.64,4.63,3.79,Medication,32275.0,No,77.57,3231,8.6,6467.0,0.85,81.0
South Africa,2024,Tuberculosis,Chronic,12.23,1.09,0.76,36-60,Female,145488,58.31,,2.39,Therapy,32755.0,Yes,78.08,2223,3.44,84406.0,0.42,81.69
China,2021,Diabetes,Genetic,16.79,4.63,5.15,61+,Other,47207,58.74,2.4,7.62,Vaccination,38325.0,Yes,82.53,1854,9.41,76415.0,0.7,45.35
UK,2023,Influenza,Autoimmune,0.84,1.96,4.94,0-18,Male,266197,67.21,2.55,9.91,Therapy,13900.0,No,95.35,22,5.58,45457.0,0.55,75.0
UK,2024,Influenza,Neurological,10.27,2.98,6.66,0-18,Female,450631,93.95,3.37,1.43,Therapy,34674.0,Yes,59.94,706,3.39,46693.0,0.88,30.92
UK,2022,Diabetes,Parasitic,5.67,5.88,9.93,19-35,Female,534605,99.55,0.85,2.51,Medication,23636.0,Yes,77.52,1879,0.53,41535.0,0.67,51.92
Argentina,2022,Ebola,Viral,,0.66,2.93,61+,Female,588002,55.14,2.98,7.59,Medication,14848.0,Yes,79.31,551,9.94,75882.0,0.89,27.6
Russia,2023,Dengue,Autoimmune,8.02,11.66,0.58,61+,Other,6285,98.8,1.27,5.34,Vaccination,30813.0,No,72.45,4120,4.24,75844.0,0.68,
India,2021,Hypertension,Bacterial,9.4,9.29,0.83,61+,Male,522052,88.36,1.56,3.67,Therapy,36071.0,No,57.96,1294,4.84,37901.0,0.5,89.86
UK,2021,Tuberculosis,Infectious,6.27,9.35,0.2,0-18,Female,139335,66.81,4.83,8.98,Medication,37529.0,No,83.35,3461,0.43,89669.0,0.52,45.32
Nigeria,2022,Dengue,Metabolic,15.43,2.36,0.16,61+,Female,248606,88.49,4.1,7.78,Therapy,3245.0,No,54.06,4224,8.72,23992.0,0.89,67.41
South Africa,2024,HIV/AIDS,Respiratory,1.3,10.24,9.66,61+,Male,708358,84.89,4.85,0.94,Vaccination,17224.0,Yes,63.1,4045,1.53,9656.0,0.4,30.56
South Africa,2024,Diabetes,Neurological,19.97,7.75,2.84,61+,Male,443675,81.76,4.66,0.62,Surgery,48403.0,No,71.12,3477,6.09,13167.0,0.76,53.61
Argentina,2023,Zika,Viral,7.58,10.12,4.62,36-60,Other,976447,,3.76,8.2,Therapy,20796.0,Yes,68.04,2712,7.95,80271.0,0.7,83.03
India,2021,Leprosy,Genetic,10.41,9.67,1.17,61+,Male,269949,91.91,2.05,7.74,Vaccination,23359.0,No,58.84,1903,7.52,35077.0,0.46,69.17
Russia,2021,COVID-19,Metabolic,0.31,3.1,5.36,36-60,Female,197150,65.73,3.14,5.4,Medication,34226.0,No,51.96,1898,2.08,74384.0,0.57,29.43
UK,2020,Dengue,Viral,8.14,4.66,5.01,19-35,Female,123284,66.14,2.11,2.05,Vaccination,19355.0,Yes,60.72,1248,7.5,64825.0,0.45,38.37
UK,2022,Diabetes,Cardiovascular,19.68,7.24,4.82,0-18,Female,693785,52.81,1.23,2.81,Surgery,1515.0,No,84.51,683,0.72,98739.0,0.53,41.14
UK,2023,Ebola,Autoimmune,3.89,0.32,0.78,36-60,Female,792770,99.87,2.39,1.5,Therapy,17523.0,No,88.07,3159,0.33,59900.0,0.01,34.97
India,2023,Diabetes,Genetic,1.18,9.73,4.78,19-35,Male,321543,57.81,1.96,2.5,Therapy,29367.0,Yes,68.45,3595,2.96,74106.0,0.43,22.23
USA,2024,Hypertension,Infectious,19.96,8.52,3.77,61+,Male,686688,55.48,2.04,7.42,Medication,41916.0,No,92.29,1755,0.76,40290.0,0.87,72.38
China,2020,Diabetes,Genetic,0.52,12.19,9.92,61+,Female,802603,61.75,3.7,3.53,Medication,13185.0,No,92.25,4246,1.44,73330.0,0.57,80.91
UK,2023,Tuberculosis,Chronic,10.21,1.42,8.45,61+,Other,45587,67.42,4.61,4.64,Surgery,11953.0,No,66.5,2313,0.92,17076.0,0.42,73.45
Russia,2024,Diabetes,Viral,12.73,10.81,0.65,36-60,Other,913505,99.44,3.96,8.62,Medication,6209.0,No,72.3,4888,3.16,32981.0,0.6,27.7
South Africa,2020,Influenza,Parasitic,6.44,0.82,3.8,61+,Other,359710,95.67,3.31,4.74,Therapy,4523.0,No,96.76,58,8.95,84380.0,0.66,40.06
USA,2023,Measles,Metabolic,6.77,9.62,1.84,36-60,Female,655749,99.07,1.67,5.43,Vaccination,13161.0,Yes,95.27,3482,1.87,53182.0,0.64,50.62
Nigeria,2022,HIV/AIDS,Chronic,8.85,5.19,9.09,61+,Male,657056,87.31,3.28,5.02,Vaccination,33874.0,Yes,65.5,645,6.54,86724.0,0.51,30.52
India,2021,Parkinson's Disease,Bacterial,13.93,4.81,2.96,36-60,Other,960807,81.4,3.16,3.34,Medication,31224.0,Yes,95.98,4619,3.2,55255.0,0.57,72.55
Russia,2024,Zika,Neurological,11.6,1.58,0.6,36-60,Female,994290,52.59,4.77,6.98,Surgery,,Yes,87.65,2867,5.9,8016.0,0.73,60.44
Argentina,2022,Malaria,Viral,11.74,12.58,9.74,19-35,Female,811285,92.63,0.57,3.94,Medication,11953.0,No,82.28,3554,8.76,74395.0,0.48,36.3
Nigeria,2021,Influenza,Bacterial,18.59,5.06,6.19,19-35,Other,941818,87.55,4.95,1.71,Therapy,40207.0,Yes,64.55,1632,3.83,72334.0,0.67,43.03
USA,2021,Cholera,Parasitic,11.66,6.75,1.48,61+,Other,209532,56.73,4.74,5.24,Surgery,17311.0,Yes,61.91,1707,0.01,15081.0,0.41,54.91
Nigeria,2024,Alzheimer's Disease,Metabolic,7.48,14.93,1.32,19-35,Male,199162,95.11,1.73,5.96,Vaccination,19232.0,Yes,70.1,1577,3.2,21345.0,0.83,85.19
USA,2024,Zika,Cardiovascular,8.21,14.1,4.47,36-60,Male,580738,95.33,3.43,1.84,Vaccination,18934.0,Yes,74.35,4277,0.85,24545.0,0.67,53.89
USA,2024,Rabies,Viral,18.61,12.64,6.92,19-35,Other,506991,70.38,0.59,7.44,Surgery,18831.0,No,67.98,3466,6.24,69202.0,0.5,66.75
Argentina,2023,Cancer,Chronic,9.9,6.66,2.79,0-18,Male,247307,76.49,3.02,9.64,Surgery,18456.0,No,91.48,529,6.35,99886.0,0.66,74.92
Nigeria,2020,HIV/AIDS,Genetic,19.18,7.38,1.75,0-18,Other,356621,51.87,4.61,4.36,Medication,31538.0,Yes,70.29,4674,8.02,955.0,0.87,37.38
China,2022,Diabetes,Viral,17.86,9.74,6.19,19-35,Female,205935,51.33,4.3,0.9,Surgery,25035.0,No,97.31,3001,3.34,14448.0,0.86,59.9
UK,2021,Cancer,Neurological,2.7,2.28,8.83,0-18,Male,854621,54.9,2.26,1.53,Vaccination,36713.0,No,62.83,2602,2.26,51158.0,0.42,72.22
Argentina,2021,Parkinson's Disease,Bacterial,3.59,3.4,4.84,36-60,Other,725203,74.76,2.97,9.59,Medication,43217.0,No,93.19,2145,6.01,84877.0,0.55,86.21
USA,2023,HIV/AIDS,Metabolic,18.28,3.41,1.54,36-60,Other,51121,94.91,4.08,8.97,Surgery,,No,82.21,4975,7.23,21736.0,0.74,64.59
Argentina,2020,Dengue,Infectious,13.01,3.42,0.3,36-60,Male,163991,,2.83,1.35,Medication,17487.0,No,51.56,532,7.93,47224.0,0.88,24.3
USA,2024,Ebola,Parasitic,17.32,12.11,7.75,19-35,Male,200937,54.12,2.79,7.49,Medication,7072.0,Yes,62.4,2617,5.74,68769.0,0.63,35.6
USA,2023,Alzheimer's Disease,Autoimmune,2.16,7.25,8.82,61+,Female,970320,89.36,0.55,0.6,Medication,36232.0,No,85.23,2254,6.69,39556.0,0.55,28.58
China,2022,Asthma,Neurological,7.01,13.6,1.09,61+,Female,399219,76.78,3.01,7.51,Medication,12349.0,No,54.33,4465,4.6,85547.0,0.48,58.98
